patent_use_code,definition
U-1606,METHOD FOR ADMINISTERING PIRFENIDONE WHILE AVOIDING OR DISCONTINUING CONCOMITANT USE OF A MODERATE TO STRONG INHIBITOR OF BOTH CYP1A2 AND ANOTHER CYP ENZYME INVOLVED IN PIRFENIDONE METABOLISM
U-1607,METHOD OF ADMINISTERING A DOSAGE FORM THAT INCLUDES A GRANULATE FORMULATION OF PIRFENIDONE TO TREAT A  FIBROTIC CONDITION
U-1608,DOSE ESCALATION OVER 14 DAYS FOR TREATMENT OF A FIBROSIS CONDITION
U-1609,CONTINUED DOSING OR DOSAGE MODIFICATION FOLLOWING ELEVATED LIVER ENZYMES IN TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-161,METHOD OF INHIBITING CHOLESTEROL BIOSYNTHESIS IN A PATIENT
U-1610,CONTINUED DOSING OR DOSAGE MODIFICATION FOLLOWING ELVATED LIVER ENZYMES IN USE OF PIRFENIDONE
U-1611,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY DISCONTINUING SMOKING OR BY DISCONTINUING A STRONG CYP1A2 INDUCER
U-1612,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY AVOIDING SMOKING OR BY AVOIDING ANOTHER STRONG CYP1A2 INDUCER
U-1613,DOSAGE MODIFICATION IN TREATMENT WITH PIRFENIDONE TO REDUCE DRUG INTERACTIONS WITH CIPROFLOXACIN
U-1614,USE OF TOPICAL DICLOFENAC SODIUM FOR TREATING PAIN
U-1615,"FOR THE TREATMENT OF PATIENTS WITH CLL, FL, OR SLL"
U-1616,NASAL ADMINISTRATION OF A TESTOSTERONE GEL TO A PATIENT TO TREAT THE PATIENT FOR A CONDITION ASSOCIATED WITH A DEFICIENCY OR ABSENCE OF ENDOGENOUS TESTOSTERONE
U-1617,METHOD OF TREATING MEDULLARY THYROID CANCER
U-1618,"A METHOD OF TREATING A PATIENT SUFFERING FROM A PAIN ASSOCIATED SLEEP DISTURBANCE COMPRISING ADMINISTERING A LIQUID COMPOSITION FORMULATED INSIDE A SOFT GEL CAPSULE, AS CLAIMED, TO THE PATIENT"
U-1619,TREATMENT OF IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-162,METHOD OF USE TO INHIBIT CHOLESTEROL SYNTHESIS IN A HUMAN SUFFERING FROM HYPERCHOLESTEROLEMIA
U-1620,"METHOD OF TREATMENT OF IRON-RELATED CONDITIONS WITH AT LEAST 0.6 GRAMS OF ELEMENTAL IRON VIA AN IRON CARBOHYDRATE COMPLEX, WITH A SUBSTANTIALLY NON-IMMUNOGENIC CARBOHYDRATE COMPONENT, IN ABOUT 15 MINUTES OR LESS."
U-1621,PULMONARY ADMINISTRATION OF A COMPOSITION COMPRISING INSULIN BOUND TO A COMPLEXING AGENT.
U-1622,FOR THE TREATMENT OF POLYCYTHEMIA VERA
U-1623,USE OF EXENATIDE MAY RESULT IN REDUCTION IN APPETITE.
U-1624,"TREATMENT OF UNRESECTABLE HEPATOCELLULAR CARCINOMA, ADVANCED RENAL CELL CARCINOMA, OR DIFFERENTIATED THYROID CARCINOMA."
U-1625,METHOD OF TREATING SCHIZOPHRENIA BY ADMINISTERING ILOPERIDONE TO A PATIENT BY REDUCING THE DOSE IN PATIENTS WHO ARE POOR METABOLIZERS OF CYP2D6
U-1626,A METHOD OF TREATING OR PREVENTING OCULAR PAIN AND BURNING
U-1627,TREATMENT OF ACUTE UNCOMPLICATED INFLUENZA IN ADULTS
U-1628,METHOD OF TREATING DISORDERS WITH AN ETIOLOGY COMPRISING OR ASSOCIATED WITH EXCESS GH-SECRETION
U-1629,METHOD OF TREATING ACROMEGALY
U-163,METHOD OF USING TROGLITAZONE TO TREAT IMPAIRED GLUCOSE TOLERANCE TO PREVENT OR DELAY THE ONSET OF NONINSULIN-DEPENDENT DIABETES MELLITUS
U-1630,TREATMENT IN COMBINATION WITH A CORTICOID SUCH AS PREDNISONE OF PROSTATE CANCER PREVIOUSLY TREATED WITH DOCETAXEL
U-1631,TREATMENT OF INFLAMMATORY LESIONS OF ROSACEA.
U-1632,"TREATMENT OF SCHIZOPHRENIA, WITH EFFICACY IN TREATING ACUTE EPISODES OF SCHIZOPHRENIA"
U-1633,USE OF ARIPIPRAZOLE IN EXTENDED RELEASE INJECTABLE SUSPENSION IN TREATING ACUTE EPISODES OF SCHIZOPHRENIA
U-1634,TREATMENT OF BRCA MUTATED OVARIAN CANCER USING PARP INHIBITOR
U-1635,USE OF RITONAVIR AS A POTENT CYP3A INHIBITOR TO INCREASE PLASMA DRUG CONCENTRATION OF PARITAPREVIR AND OVERALL DRUG EXPOSURE FOR TREATMENT OF HCV INFECTION
U-1636,USE OF DASABUVIR TO INHIBIT VIRAL REPLICATION FOR THE TREATMENT OF HCV INFECTION.
U-1637,"TREATMENT OF HCV INFECTION USING PARITAPREVIR, OMBITASVIR, RITONAVIR, AND DASABUVIR WITH RIBAVIRIN."
U-1638,TREATMENT OF HCV INFECTION USING PARITAPREVIR
U-1639,USE OF NALTREXONE AND BUPROPION IN EXTENDED-RELEASE FORM FOR CHRONIC WEIGHT MANAGEMENT FOR TREATING OVERWEIGHT OR OBESITY
U-164,METHOD OF USING TROGLITAZONE TO PREVENT OR DELAY THE ONSET OF NONINSULIN-DEPENDENT DIABETES MELLITUS IN A DEFINED POPULATION OF PATIENTS
U-1640,TREATMENT OF MODERATE TO SEVERE CHRONIC PAIN BY ADMINISTERING AN INTACT COMPOSITION AS CLAIMED
U-1641,MEMANTINE HCL/DONEPEZIL HCL COMBINATION FOR THE TREATMENT OF MODERATE TO SEVERE DEMENTIA OF THE ALZHEIMER'S TYPE
U-1642,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS WITH SEVERE CHRONIC RENAL IMPAIRMENT AND FOR WHOM METFORMIN THERAPY IS INAPPROPRIATE BY ADMINISTERING LINAGLIPTIN
U-1643,TREATING CUSHING'S SYNDROME
U-1644,TREATMENT OF OVERACTIVE BLADDER BY APPLICATION OF OXYBUTYNIN CHLORIDE GEL TO SKIN
U-1645,"TREATMENT OF PARKINSON'S DISEASE, POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION"
U-1646,"TREATMENT OF POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION"
U-1647,TREATMENT OF PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION
U-1648,"TREATMENT OF PATIENTS WITH PARKINSON'S DISEASE, POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION"
U-1649,TREATMENT OF POST-ENCEPHALITIC PARKINSONISM
U-165,TREATMENT OF SYMPTOMATIC BENIGN PROSTATIC HYPERPLASIA
U-1650,TREATMENT OF WALDENSTROM'S MACROGLOBULINEMIA
U-1651,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN
U-1652,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN AND METFORMIN
U-1653,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN (WITH OR WITHOUT METFORMIN)
U-1654,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN (WITH OR WITHOUT INSULIN OR A SULFONYLUREA)
U-1655,A METHOD TO ACCELERATE THE TIME TO GASTROINTESTINAL RECOVERY BY ADMINISTERING ABOUT 12 MG OF ALVIMOPAN TO THE PATIENT FROM ABOUT 30 TO 60 MINUTES PRIOR TO SURGERY
U-1656,METHOD OF IRON ADMINISTRATION TO TREAT PATIENTS IN NEED OF IRON REPLACEMENT
U-1657,"METHOD FOR PROVIDING POST COITAL CONTRACEPTION TO A WOMAN BY ADMINISTERING ABOUT 30 MG OF ULIPRISTAL ACETATE WITHIN ABOUT 120 HOURS AFTER INTERCOURSE, WHEREIN THE WOMAN IS OVERWEIGHT  HAVING A BMI OF 25 TO 29.99"
U-1658,"TREATMENT OF ER-POSITIVE, HER2-NEGATIVE ADVANCED BREAST CANCER IN COMBINATION WITH LETROZOLE AS INITIAL ENDOCRINE-BASED THERAPY FOR METASTATIC DISEASE IN POSTMENOPAUSAL WOMEN"
U-1659,MANAGEMENT OF PAIN
U-166,TREATMENT OF H.PYLORI-ASSOCIATED DUODENAL ULCER
U-1660,TREATMENT OF HIV-1 INFECTION IN ADULTS WITH NO DARUNAVIR RESISTANCE-ASSOCIATED SUBSTITUTIONS
U-1661,RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCERS IN PATIENTS ALSO TAKING LOW DOSE ASPIRIN
U-1662,A METHOD OF TREATING OCULAR PAIN
U-1663,TREATMENT OF HIV-1 INFECTION
U-1664,TREATMENT OF BACTERIAL VAGINOSIS WITH METRONIDAZOLE GEL
U-1665,METHOD OF TREATING ATTENTION DEFICIT HYPERACTIVITY DISORDER BY ADMINISTERING THE COMPOSITION OF CLAIM 1
U-1666,PALLIATIVE TREATMENT OF PROSTATE CANCER
U-1667,"TREATMENT OF ALLERGIC RHINITIS, INCLUDING SEASONAL ALLERGIC RHINITIS"
U-1668,METHOD OF TREATING DEPRESSION OR MAJOR DEPRESSIVE DISORDER
U-1669,"TREATMENT OF MULTIPLE MYELOMA, IN COMBINATION WITH BORTEZOMIB AND DEXAMETHASONE"
U-167,METHOD FOR TREATING HIV-1 INFECTION
U-1670,NATROBA TOPICAL SUSPENSION IS A PEDICULICIDE INDICATED FOR THE TOPICAL TREATMENT OF HEAD LICE INFESTATION IN PATIENTS SIX (6) MONTHS OF AGE AND OLDER.
U-1671,TREATMENT OF OCULAR ITCHING ASSOCIATED WITH CONJUNCTIVITIS
U-1672,TREATMENT OF COMPLICATED INTRA-ABDOMINAL INFECTION
U-1673,"TREATMENT OF COMPLICATED URINARY TRACT INFECTION, INCLUDING PYELONEPHRITIS"
U-1674,DOSAGE MODIFICATION TO REDUCE RISKS ASSOCIATED WITH QT PROLONGATION NOT INDUCED BY OTHER DRUGS DURING TREATMENT WITH ILOPERIDONE
U-1675,USE OF TROKENDI XR FOR THE TREATMENT OF EPILEPSY
U-1676,METHODS FOR TREATING BACTERIAL INFECTIONS
U-1677,TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS (IPF)
U-1678,"FOR THE TREATMENT OF PATIENTS WITH CLL, FL, OR SLL"
U-1679,TREATMENT OF ACUTE OTITIS EXTERNA
U-168,METHOD OF INHIBITING LIPOXYGENASE ACTIVITY IN A MAMMAL WHICH IS THE MODE OF ACTION IN THE TREATMENT OF ASTHMA
U-1680,TREATMENT OF OCULAR ITCHING ASSOCIATED WITH ALLERGIC CONJUNCTIVITIS
U-1681,"TREATMENT OF PATIENTS WITH PROGESSIVE NEUROENDOCRINE TUMORS OF PANCREATIC ORIGIN (PNET) THAT ARE UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC"
U-1682,TREATMENT OF BACTERIAL VAGINOSIS
U-1683,TREATMENT FOR CHRONIC LYMPHOCYTIC LEUKEMIA WITH 17P DELETION
U-1684,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA
U-1685,DOSAGE MODIFICATION TO REDUCE THE RISK ASSOCIATED WITH QT PROLONGATION NOT INDUCED BY OTHER DRUGS DURING TREATMENT WITH ILOPERIDONE
U-1686,"A METHOD TO REDUCE WITHDRAWAL SYMPTOMS, INCLUDING NICOTINE CRAVING, ASSOCIATED WITH SMOKING CESSATION"
U-1687,TREATMENT OF HCV INFECTION USING OMBITASVIR
U-1688,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY TREATING OBESITY IN AN INDIVIDUAL WHO DOES NOT HAVE SEVERE RENAL IMPAIRMENT OR ESRD
U-1689,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY INDUCING SATIETY IN AN INDIVIDUAL WHO DOES NOT HAVE SEVERE RENAL IMPAIRMENT OR ESRD
U-169,METHODS OF USING THE COMPOUND/DRUG PRODUCT AS A CONTRAST AGENT IN MAGNETIC RESONANCE IMAGING
U-1690,METHOD FOR REDUCTION OF SUBMENTAL FAT
U-1691,INDICATED FOR THE ONCE-DAILY INHALED TREATMENT FOR ASTHMA IN ADULTS AGED 18 YEARS AND OLDER
U-1692,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY DECREASING FOOD INTAKE IN AN INDIVIDUAL WHO DOES NOT HAVE SEVERE RENAL IMPAIRMENT OR ESRD
U-1693,METHOD OF TREATING ADHD IN CHILDREN 6 YEARS OF AGE AND OLDER AND ADOLESCENTS
U-1694,A METHOD FOR TREATING HEART FAILURE IN A HUMAN USING A CRYSTALLINE FORM OF IVABRADINE HYDROCHLORIDE
U-1695,METHOD FOR TREATING THYROID CARCINOMA INCLUDING DIFFERENTIATED THYROID CANCER
U-1696,TREATMENT OF UNRESECTABLE HEPATOCELLULAR CARCINOMA
U-1697,PULMONARY ADMINISTRATION OF A COMPOSITION COMPRISING INSULIN BOUND TO A DIKETOPIPERAZINE.
U-1698,PROPHYLAXIS OF INVASIVE ASPERGILLUS AND CANDIDA INFECTIONS
U-1699,A METHOD FOR TREATING ACUTE LYMPHOBLASTIC LEUKEMIA
U-17,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS
U-170,METHOD OF OBTAINING AN MR IMAGE USING THE COMPOSITION/DRUG PRODUCT AS A CONTRAST AGENT
U-1700,A METHOD FOR TREATING PHILADELPHIA CHROMOSOME POSITIVE ACUTE LYMPHOBLASTIC LEUKEMIA
U-1701,A METHOD FOR TREATING LEUKEMIA RESULTING FROM A MUTATION IN THE BCR-ABL KINASE DOMAIN
U-1702,TREATMENT OF COPD
U-1703,TREATMENT OF RESPIRATORY COMPLAINTS
U-1704,USE FOR TREATMENT IN PATIENTS WITH DIABETES
U-1705,USE FOR TREATMENT IN PATIENTS WITH HYPERGLYCEMIA
U-1706,TREATMENT OF TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE WHEREIN THE COMBINED THERAPEUTIC EFFECT IS GREATER THAN THE ADDITIVE EFFECT OF ADMINISTERING EACH AGENT ALONE
U-1707,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS AND SYMPTOMS THEREOF.
U-1708,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS.
U-1709,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE).
U-171,METHODS OF USING THE COMPOUND/DRUG PRODUCT AS AN ORAL CONTRAST AGENT IN MAGNETIC RESONANCE IMAGING OF THE GASTROINTESTINAL TRACT
U-1710,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH FLUVOXAMINE
U-1711,"FOR THE TREATMENT OF PATIENTS WITH CLL, FL OR SLL"
U-1712,MEKINIST IN COMBINATION WITH DABRAFENIB FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA
U-1713,TAFINLAR IN COMBINATION WITH TRAMETINIB FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA
U-1714,TREATMENT OF THROMBOCYTOPENIA IN ADULT AND PEDIATRIC PATIENTS 6 YEARS AND OLDER WITH CHRONIC IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-1715,P2Y12 PLATELET INHIBITOR FOR USE AS ADJUNCT TO PERCUTANEOUS CORONARY INTERVENTION TO REDUCE RISK OF VARIOUS DISEASES/CONDITIONS IN PATIENTS NOT TREATED WITH A P2Y12 PLATELET INHIBITOR AND NOT GIVEN A GLYCOPROTEIN IIB/IIIA INHIBITOR
U-1716,TREATMENT OF COUGH AND SYMPTOMS ASSOCIATED WITH UPPER RESPIRATORY ALLERGIES OR A COMMON COLD WITH CODEINE PHOSPHATE AND CHLORPHENIRAMINE MALEATE ORALLY ADMINISTERED EXTENDED RELEASE TABLETS
U-1717,METHOD OF TREATING CYSTIC FIBROSIS IN PATIENTS WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) GENE
U-1718,METHOD OF TREATING CYSTIC FIBROSIS IN PATIENTS WHO HAVE THE F508DEL MUTATION IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) GENE.
U-1719,ACUTE TREATMENT OF MIGRAINE
U-172,TREATMENT OF GENITAL WARTS
U-1720,METHOD OF PROVIDING A THERAPEUTICALLY EFFECTIVE AND STABLE MEDIAN BLOOD PLASMA LEVEL OF LEVODOPA
U-1721,USE OF RUXOLITINIB (JAKAFI) FOR BLOCKING SIGNAL TRANSDUCTION OF JANUS ASSOCIATED KINASES (JAKS) JAK1 AND/OR JAK2
U-1722,TREATMENT OF BASAL CELL CARCINOMA
U-1723,TREATMENT OF HEART FAILURE
U-1724,METHOD OF INHIBITING HEPATITIS C VIRUS
U-1725,METHOD OF INHIBITING HEPATITIS C VIRUS WITH DAKLINZA AND AT LEAST ONE ADDITIONAL COMPOUND HAVING ANTI-HCV ACTIVITY
U-1726,REDUCTION IN RISK OF HOSPITALIZATION IN PATIENTS WITH CORONARY HEART DISEASE AND A HISTORY OF PAROXYSMAL OR PERSISTENT AF AND WITH ONE OR MORE RISK FACTORS BY ADMINISTRATION TWICE A DAY WITH MORNING AND EVENING MEALS
U-1727,TOPICAL TREATMENT OF INFLAMMATORY PAPULES AND PUSTULES OF MILD TO MODERATE ROSACEA
U-1728,REDUCTION IN RISK OF HOSPITALIZATION IN PATIENTS WITH STABLE NYHA CLASS III HEART FAILURE AND A HISTORY OF PAROXYSMAL OR PERSISTENT AF AND WITH ONE OR MORE RISK FACTORS BY ADMINISTRATION TWICE A DAY WITH MORNING AND EVENING MEALS
U-1729,REDUCE THE RISK OF RECURRENT DEEP VEIN THROMBOSIS (DVT)
U-173,ADMINISTRATION TO A HOST SUFFERING FROM GESTATIONAL DIABETES
U-1730,REDUCE THE RISK OF RECURRENT PULMONARY EMBOLISM
U-1731,TEMPORARY RELIEF OF MINOR ACHES AND PAINS
U-1732,TEMPORARY REDUCTION OF FEVER
U-1733,TREATMENT/PREVENTION OF CARDIOVASCULAR DISEASE
U-1734,USE OF FLIBANSERIN OR A PHARMACEUTICALLY ACCEPTABLE ACID ADDITION SALT THEREOF TO TREAT HYPOACTIVE SEXUAL DESIRE DISORDER (HSDD)
U-1735,"METHODS OF TREATING PAIN, INFLAMMATION AND/OR FEVER WITH INTRAVENOUS IBUPROFEN SUCH THAT MEAN ARTERIAL BLOOD PRESSURE DOES NOT INCREASE THE DOSAGE INTERVAL"
U-1736,TREATMENT OF THROMBOCYTOPENIA IN ADULT AND PEDIATRIC PATIENTS 1 YEAR AND OLDER WITH CHRONIC IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-1737,METHOD OF TREATING SCHIZOPHRENIA BY ADMINISTERING ILOPERIDONE TO A PATIENT BY REDUCING THE DOSE IN PATIENTS WHO ARE BEING TREATED WITH FLUOXETINE
U-1738,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE)
U-1739,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND -THE-CLOCK, LONG-TERM OPIOID TREATMENT, INCLUDING NEUROPATHIC PAIN ASSOCIATED WITH DIABETIC PERIPHERAL NEUROPATHY"
U-174,USE AS AN ANTIHISTAMINE AGENT
U-1740,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT-NAIVE PATIENTS WITH HIV-1 RNA LESS THAN OR EQUAL TO 100,000 AT THE START OF THEARPY"
U-1741,PREVENTION OF DELAYED NAUSEA AND VOMITING ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY
U-1742,"ROLAPITANT IS APPROVED FOR THE PREVENTION OF DELAYED NAUSEA AND VOMITING (I.E., EMESIS) ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY"
U-1743,FOR THE PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH CHEMOTHERAPY
U-1744,PREVENTION OF POST-OPERATIVE NAUSEA AND VOMITING
U-1745,FOR THE TREATMENT OF PATIENTS WITH WALDENSTROM'S MACROGLOBULINEMIA
U-1746,MONOTHERAPY OR ADJUNCTIVE THERAPY FOR TREATMENT OF PARTIAL-ONSET SEIZURES AND APPROVED IN PATIENTS WITH EPILEPSY
U-1747,"FOR CLAIMS 1-3,6-13,16-24  AND 26-32: METHOD OF TREATING ADHD"
U-1748,"FOR CLAIMS 1-4,6-14,16-24 AND 26-32: METHOD OF TREATING ADHD IN CHILDREN 6 YEARS OF AGE AND OLDER AND ADOLESCENTS"
U-1749,ACUTE TREATMENT OF MANIC AND MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER
U-175,METHOD OF TREATING MALIGNANT TUMORS
U-1750,TREATMENT OF SCHIZOPHRENIA AND/OR ACUTE MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER WITH CARIPRAZINE
U-1751,"TREATMENT OF PATIENTS WITH METASTATIC COLORECTAL CANCER WHO HAVE BEEN PREVIOUSLY TREATED WITH FLUOROPYRIMIDINE-, OXALIPLATIN- AND IRINOTECAN-BASED CHEMOTHERAPY, AN ANTI-VEGF BIOLOGICAL THERAPY, AND IF RAS WILD-TYPE, AN ANTI-EGFR THERAPY"
U-1752,PROPHYLAXIS OF ORGAN REJECTION
U-1753,TREATMENT OF HCV INFECTION USING DASABUVIR
U-1754,FOR THE TREATMENT OF PULMONARY HYPERTENSION (PAH) IN COMBINATION WITH TADALAFIL
U-1755,FIRST-LINE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) EXON 19 DELETIONS OR EXON 21 (L858R) SUBSTITUTION MUTATIONS
U-1756,"METHODS OF TREATING PAIN, INFLAMMATION AND/OR FEVER IN A CRITICALLY ILL PATIENT WITH INTRAVENOUS IBUPROFEN IN NEED THEREOF"
U-1757,INHIBITION ON PI3K KINASE
U-1758,METHOD OF TREATING ALLERGIC REACTION VIA INJECTION
U-1759,METHOD OF REVERSING THE ANTICOAGULANT EFFECT OF DABIGATRAN USING IDARUCIZUMAB
U-176,"METHOD OF TREATING A PATIENT SUFFERING FROM LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOSES"
U-1760,RISK-REDUCTION OF NSAID GASTRIC ULCER IN PATIENTS REQUIRING CHRONIC NSAID TREATMENT
U-1761,PLAQUE PSORIASIS
U-1762,USE OF BELVIQ (LORCASERIN HYDROCHLORIDE) FOR CHRONIC WEIGHT MANAGEMENT IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT
U-1763,USE OF BELVIQ (LORCASERIN HYDROCHLORIDE) FOR CHRONIC WEIGHT MANAGEMENT BY DECREASING FOOD INTAKE IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT
U-1764,USE OF BELVIQ (LORCASERIN HYDROCHLORIDE) FOR CHRONIC WEIGHT MANAGEMENT BY INDUCING SATIETY IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT
U-1765,USE OF BELVIQ (LORCASERIN HYDROCHLORIDE) FOR CHRONIC WEIGHT MANAGEMENT BY TREATING OBESITY IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT
U-1766,TREATMENT OF HYPERKALEMIA
U-1767,USE OF CALCIPOTRIENE FOAM FOR THE TOPICAL TREATMENT OF PLAQUE PSORIASIS IN PATIENTS AGED 18 YEARS AND OLDER
U-1768,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN
U-1769,TREATEMENT OF PAIN BY TRANSMUCOSAL DELIVERY OF BUPRENORPHINE
U-177,FUNGICIDE
U-1770,TREATMENT OF SCHIZOPHRENIA WITH IMPROVEMENT IN NEGATIVE SYMPTOMS AND/OR COGNITIVE DYSFUNCTION OF SCHIZOPHRENIA
U-1771,ADMINISTRATION OF REMODULIN DILUTED FOR INTRAVENOUS INFUSION WITH STERILE WATER FOR INJECTION OR 0.9% SODIUM CHLORIDE  INJECTION PRIOR TO ADMINISTRATION
U-1772,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN
U-1773,LONG - TERM MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-1774,USE OF A LOTION CONTAINING HALOBETASOL PROPIONATE FOR THE TREATMENT OF CORTICOSTEROID-RESPONSIVE
U-1775,USE OF A LOTION CONTAINING HALOBETASOL PROPIONATE FOR THE TREATMENT OF CORTICOSTEROID-RESPONSIVE DERMATOSES INCLUDING PSORIASIS
U-1776,METHOD OF USING COBIMETINIB FOR THE TREATMENT OF MELANOMA
U-1777,"TREATMENT OF PATIENTS WITH METASTATIC EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) T790M MUTATION-POSITIVE NON-SMALL CELL LUNG CANCER (NSCLC), WHO HAVE PROGRESSED ON OR AFTER EGFR TKI THERAPY"
U-1778,METHOD FOR TREATING MULTIPLE MYELOMA
U-1779,METHOD FOR TREATING MULTIPLE MYELOMA WITH ONE OR MORE OTHER THERAPEUTIC AGENTS
U-178,FACILITATED ADHERENCE OF AGENTS TO SKIN
U-1780,"METHOD FOR TREATING CANCER, INCLUDING MULTIPLE MYELOMA"
U-1781,RISK-REDUCTION OF NSAID-ASSOCIATED GASTRIC ULCER IN PATIENTS REQUIRING NSAID TREATMENT
U-1782,FOR HEAD LICE INFESTATIONS
U-1783,METHOD OF TREATING FREQUENT HEARTBURN BY ADMINISTERING AN ESOMEPRAZOLE MAGNESIUM AS CLAIMED
U-1784,METHOD OF TREATING FREQUENT HEARTBURN BY ADMINISTERING AN ESOMEPRAZOLE MAGNESIUM TRIHYDRATE AS CLAIMED
U-1785,METHOD OF TREATING FREQUENT HEARTBURN BY ADMINISTERING AN ESOMEPRAZOLE MAGNESIUM FORMULATION AS CLAIMED
U-1786,TREATMENT OF PATIENTS WITH RELAPSING FORMS OF MULTIPLE SCLEROSIS WHILE MANAGING THE RISK OF TERIFLUNOMIDE AND ROSUVASTATIN INTERACTION BY LIMITING THE ROSUVASTATIN DOSE TO NO MORE THAN 10MG AND/OR ADMINISTERING ABOUT HALF THE NORMAL DOSE
