authors,originalPublicationYear,originalTitle,title,languageCode
Michael Connelly,1997,Trunk Music,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",eng
Dan   Harris,2014,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works","10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",eng
"Ina Garten, Quentin Bacon",2006,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,
Michael Connelly,1998,Blood Work,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",eng
Isaac Asimov,1972,The Gods Themselves,The Gods Themselves,eng
Peter Lerangis,2010,,"The Viper's Nest (39 Clues, #7)",eng
Sena Jeter Naslund,1999,,"Ahab's Wife, or The Star-Gazer",en-US
"CLAMP, Anthony Gerard",2004,ツバサ-RESERVoir CHRoNiCLE- 1,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01",eng
Darren Shan,2000,"Cirque Du Freak (Cirque du Freak, #1) ","A Living Nightmare (Cirque Du Freak, #1)",
"Alan Moore, Kevin O'Neill",2000,"The League of Extraordinary Gentlemen, Vol. I","The League of Extraordinary Gentlemen, Vol. 1",eng
M.T. Anderson,2002,Feed,Feed,eng
Nalini Singh,2009,,"Angels' Blood (Guild Hunter, #1)",eng
"Euripides, Rex Warner",-431,Mήδεια,Medea,en-GB
Cinda Williams Chima,2009,The Demon King,"The Demon King (Seven Realms, #1)",en-US
Hannah Hurnard,1955,Hinds' Feet on High Places,Hinds' Feet on High Places,
Charles Burns,1995,Black Hole,Black Hole,eng
"Brian K. Vaughan, Fiona Staples",2014,"Saga, Volume Three","Saga, Vol. 3 (Saga, #3)",eng
Lee Child,2014,Personal,"Personal (Jack Reacher, #19)",eng
Therese Anne Fowler,2013,Z: A Novel of Zelda Fitzgerald,Z: A Novel of Zelda Fitzgerald,eng
Kurt Vonnegut Jr.,2005,A Man Without a Country,A Man Without a Country,eng
Catherine Ryan Hyde,2009,When I Found You,When I Found You,en
Martha Hall Kelly,2016,Lilac Girls,Lilac Girls,eng
"James Patterson, Maxine Paetro",2008,7th Heaven,"7th Heaven (Women's Murder Club, #7)",eng
Lee Child,2015,Make Me,"Make Me (Jack Reacher, #20)",en-US
Anthony Marra,2013,A Constellation of Vital Phenomena,A Constellation of Vital Phenomena,eng
Abbi Glines,2012,While It Lasts,"While It Lasts (Sea Breeze, #3)",eng
Will Schwalbe,2012,The End of Your Life Bookclub,The End of Your Life Book Club,eng
Lauren Barnholdt,2007,Two-Way Street,Two-Way Street,
Raine Miller,2012,All in,"All In (The Blackstone Affair, #2)",eng
John Flanagan,2006,The Siege of Macindaw,"The Siege of Macindaw (Ranger's Apprentice, #6)",eng
C.S. Lewis,1961,A Grief Observed,A Grief Observed,en-US
"Warren Ellis, Darick Robertston, Garth Ennis",1998,"Transmetropolitan, Vol. 1: Back on the Street","Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",eng
Tamora Pierce,1994,"Emperor Mage (Immortals, #3)","Emperor Mage (Immortals, #3)",en-US
George W. Bush,2010,Decision Points,Decision Points,eng
"James Patterson, Gabrielle Charbonnet",2009,Witch & Wizard,"Witch & Wizard (Witch & Wizard, #1)",eng
"Jean Craighead George, John Schoenherr",1972,Julie of the Wolves,"Julie of the Wolves (Julie of the Wolves, #1)",eng
Judy Blume,1975,Forever . . .,Forever . . .,eng
David McCullough,2015,The Wright Brothers,The Wright Brothers,eng
Robert Ludlum,1979,The Matarese Circle,The Matarese Circle (Matarese #1),
Jon Meacham,2008,American Lion: Andrew Jackson in the White House,American Lion: Andrew Jackson in the White House,en-US
David Baldacci,2012,The Forgotten,"The Forgotten (John Puller, #2)",eng
Brandon Sanderson,2015,Shadows of Self,"Shadows of Self (Mistborn, #5)",eng
Helen Fielding,2013,Mad About the Boy,"Mad About the Boy (Bridget Jones, #3)",eng
C.S. Lewis,1960,The Four Loves,The Four Loves,en-US
Mia Sheridan,2014,Archer's Voice,Archer's Voice,eng
Alyson Richman,2011,The Lost Wife,The Lost Wife,eng
"Umberto Eco, Girolamo De Michele, Alastair McEwen",2004,Storia della bellezza,History of Beauty,eng
Robert Graves,1934,"I, Claudius","I, Claudius (Claudius, #1)",eng
Joelle Charbonneau,2013,The Testing,"The Testing (The Testing, #1)",eng
Janet Evanovich,2013,Takedown Twenty,"Takedown Twenty (Stephanie Plum, #20)",en-US
Kirsty Moseley,2011,The Boy Who Sneaks in My Bedroom Window,The Boy Who Sneaks in My Bedroom Window,en-GB
Tamora Pierce,2006,Terrier,"Terrier (Beka Cooper, #1)",eng
Darynda Jones,2011,First Grave on the Right,"First Grave on the Right (Charley Davidson, #1)",en-US
"Amanda Lindhout, Sara Corbett",2013,A House in the Sky,A House in the Sky,eng
Vera Brosgol,2011,Anya's Ghost,Anya's Ghost,eng
Bret Easton Ellis,1987,The Rules of Attraction,The Rules of Attraction,eng
Kim Harrison,2005,"The Good, the Bad, and the Undead","The Good, the Bad, and the Undead (The Hollows, #2)",en-US
R.A. Salvatore,1988,The Crystal Shard,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",eng
Jean Rhys,1966,Wide Sargasso Sea,Wide Sargasso Sea,eng
John Fowles,1965,The Magus,The Magus,en-US
David Eddings,1988,King of the Murgos,"King of the Murgos (The Malloreon, #2)",en-GB
Louise Rennison,2000,"It's OK, I'm Wearing Really Big Knickers! (Confessions of Georgia Nicolson, #2)","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson, #2)",
Caroline Kepnes,2014,You,"You (You, #1)",eng
Laini Taylor,2014,Dreams of Gods & Monsters,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",eng
John Grisham,2007,Playing For Pizza,Playing for Pizza,en-US
Colleen Houck,2011,Tiger's Curse,"Tiger's Curse (The Tiger Saga, #1)",eng
Frank Herbert,1985,Chapterhouse: Dune,Chapterhouse: Dune (Dune Chronicles #6),eng
Jacqueline Woodson,2014,Brown Girl Dreaming,Brown Girl Dreaming,eng
Mira Grant,2010,Feed,"Feed (Newsflesh Trilogy, #1)",en-US
Gwyn Hyman Rubio,1998,Icy Sparks,Icy Sparks,eng
L.M. Montgomery,1917,Rainbow Valley,"Anne's House of Dreams (Anne of Green Gables, #5)",eng
Steve Berry,2006,The Templar Legacy,"The Templar Legacy (Cotton Malone, #1)",en-US
Sue Grafton,1993,J is for Judgment (Kinsey Millhone #10),"J is for Judgment (Kinsey Millhone, #10)",eng
Katherine Howe,2009,The Physick Book of Deliverance Dane,The Physick Book of Deliverance Dane,en-US
Steven Erikson,2000,Deadhouse Gates,"Deadhouse Gates (The Malazan Book of the Fallen, #2)",eng
Kylie Scott,2013,Lick,"Lick (Stage Dive, #1)",eng
Jeffrey Archer,1976,"Not a Penny More, Not a Penny Less","Not a Penny More, Not a Penny Less",
Joe Abercrombie,2009,Best Served Cold,Best Served Cold,eng
Emma Healey,2014,Elizabeth Is Missing,Elizabeth Is Missing,eng
Vince Flynn,2005,Consent to Kill,"Consent to Kill (Mitch Rapp, #8)",en-US
Isabel Wilkerson,2010,The Warmth of Other Suns: The Epic Story of America's Great Migration ,The Warmth of Other Suns: The Epic Story of America's Great Migration,eng
Claire North,2014,The First Fifteen Lives of Harry August,The First Fifteen Lives of Harry August,eng
Carlos Ruiz Zafón,2011,El prisionero del cielo,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",
"Barbara W. Tuchman, Robert K. Massie",1962,The Guns of August,The Guns of August,eng
Vince Flynn,2001,Separation of Power,"Separation of Power (Mitch Rapp, #5)",en-US
John Marsden,1993,"Tomorrow, When the War Began","Tomorrow, When the War Began (Tomorrow, #1)",en-US
"Robert M. Edsel, Bret Witter",2009,"Monuments Men: Allied Heroes, Nazi Thieves and the Greatest Treasure Hunt in History ","The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",en-US
Ava Dellaira,2014,Love Letters to the Dead,Love Letters to the Dead,eng
Helen Bryan,2007,War Brides,War Brides,en-CA
Yaa Gyasi,2016,Homegoing,Homegoing,eng
Mary Roach,2010,Packing for Mars: The Curious Science of Life in the Void ,Packing for Mars: The Curious Science of Life in the Void,en-US
David Baldacci,2008,Divine Justice,"Divine Justice (Camel Club, #4)",en-US
"Mark Millar, John Romita Jr., Rob Liefeld",2010,Kick-Ass,"Kick-Ass (Kick-Ass, #1)",eng
"Immaculée Ilibagiza, Steve Erwin",2006,Left to Tell: Discovering God Amidst the Rwandan Holocaust,Left to Tell: Discovering God Amidst the Rwandan Holocaust,eng
Michael  Grant,2011,Plague,"Plague (Gone, #4)",en-US
Charles Dickens,1854,Hard Times: For These Times,Hard Times,eng
Joël Dicker,2011,La Vérité sur l'affaire Harry Quebert,La Vérité sur l'affaire Harry Quebert,fre
Kate Atkinson,2015,A God in Ruins,A God in Ruins,eng
Harlan Coben,2010,Caught,Caught,
Maria V. Snyder,2006,Magic Study,"Magic Study (Study, #2)",eng
"CLAMP, Shirley Kubo",2001,ちょびっツ #1,"Chobits, Vol. 1",eng
"Koushun Takami, Yuji Oniki",1999,バトル・ロワイアル,Battle Royale,eng
Sarah Addison Allen,2010,The Girl Who Chased the Moon,The Girl Who Chased the Moon,en-US
Nevil Shute,1950,A Town Like Alice,A Town Like Alice,eng
Sophia Amoruso,2014,,#GIRLBOSS,eng
Diane Chamberlain,2006,The Secret Life Of CeeCee Wilkes,The Secret Life of CeeCee Wilkes,eng
Elizabeth Peters,1975,Crocodile on the Sandbank,Crocodile on the Sandbank (Amelia Peabody #1),en-US
Nora Roberts,2009,Bed of Roses,"Bed of Roses (Bride Quartet, #2)",eng
Tom Clancy,1994,Debt of Honor,"Debt of Honor (Jack Ryan Universe, #8)",en-US
C.S. Lewis,1956,Till We Have Faces,Till We Have Faces,en-US
Anthony Horowitz,2001,Point Blanc,"Point Blank (Alex Rider, #2)",en-US
Dean Koontz,1986,Strangers,Strangers,
Daniel Silva,2000,The Kill Artist,"The Kill Artist (Gabriel Allon, #1)",eng
Mo Willems,2004,Knuffle Bunny:  A Cautionary Tale,"Knuffle Bunny: A Cautionary Tale (Knuffle Bunny, #1)",eng
Edward Gorey,1963,The Gashlycrumb Tinies,"The Gashlycrumb Tinies (The Vinegar Works, #1)",eng
"Terry Pratchett, Stephen Baxter",2012,The Long Earth,"The Long Earth (The Long Earth, #1)",eng
"Steven Pressfield, Robert McKee",2002,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,en-US
Abbi Glines,2004,,"Existence (Existence Trilogy, #1)",eng
Raymond Carver,1981,What We Talk About When We Talk About Love: Stories,What We Talk About When We Talk About Love,eng
Sarah Dessen,1996,That Summer,That Summer,eng
Michael J. Sullivan,2011,Theft of Swords,"Theft of Swords (The Riyria Revelations, #1-2)",eng
Diane Chamberlain,2013,Necessary Lies,"Necessary Lies (Necessary Lies, #1)",eng
"Larry Niven, Jerry Pournelle",1977,Lucifer's Hammer,Lucifer's Hammer,en-US
Nora Roberts,1996,Montana Sky,Montana Sky,eng
"W. Somerset Maugham, Benjamin DeMott, Maeve Binchy",1915,Of Human Bondage,Of Human Bondage,eng
Gayle Forman,2015,I Was Here,I Was Here,eng
"A.A. Milne, Ernest H. Shepard",1961,,"The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh, #1-4)",en-US
Lisa Gardner,2004,,"Alone (Detective D.D. Warren, #1)",en-US
Virginia Lee Burton,1938,Mike Mulligan and His Steam Shovel,Mike Mulligan and His Steam Shovel,
Veronica Roth,2013,,"Divergent Series Complete Box Set (Divergent, #1-3)",en-US
Terry Pratchett,2007,Making Money,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",en-US
Nora Roberts,2010,Happy Ever After,"Happy Ever After (Bride Quartet, #4)",eng
Jodi Picoult,1993,Harvesting the Heart,Harvesting the Heart,eng
Alexandra Bracken,2013,Never Fade,"Never Fade (The Darkest Minds, #2)",eng
"Vicki Myron, Bret Witter",2008,Dewey: The Small-Town Library Cat Who Touched the World,Dewey: The Small-Town Library Cat Who Touched the World,eng
Soman Chainani,2013,The School for Good and Evil,"The School for Good and Evil (The School for Good and Evil, #1)",eng
Kim Harrison,2007,For a Few Demons More ,"For a Few Demons More (The Hollows, #5)",en-US
Tana French,2014,The Secret Place,"The Secret Place (Dublin Murder Squad, #5)",eng
Brandon Sanderson,2009,Mistborn Trilogy Boxed Set,"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",en-US
Jeffery Deaver,1998,,"The Coffin Dancer (Lincoln Rhyme, #2)",en-US
Gordon Korman,2010,The Emperor's Code,"The Emperor's Code (The 39 Clues, #8)",eng
"Margret Rey, H.A. Rey",1969,The Complete Adventures of Curious George,The Complete Adventures of Curious George,
Michael Connelly,2011,The Drop,"The Drop (Harry Bosch, #17; Harry Bosch Universe, #21)",eng
Naoko Takeuchi,1992,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],"Sailor Moon, #1 (Sailor Moon, #1)",eng
"Steven D. Levitt, Stephen J. Dubner",2014,,Think Like a Freak,eng
"Raina Telgemeier, Gurihiru",2012,Drama,Drama,eng
Sarah Vowell,2005,Assassination Vacation,Assassination Vacation,en-US
Roger Zelazny,1970,Nine Princes in Amber,Nine Princes in Amber (The Chronicles of Amber #1),en-US
Alice Hoffman,2014,The Museum of Extraordinary Things,The Museum of Extraordinary Things,eng
Orson Scott Card,2008,"Ender in Exile (The Ender Quintet, #2)","Ender in Exile (Ender's Saga, #1.2)",en-US
MaryJanice Davidson,2004,Undead and Unwed,"Undead and Unwed (Undead, #1)",en-US
Paulo Coelho,1996,O Monte Cinco,The Fifth Mountain,eng
"Joseph Campbell, Bill Moyers",1988,The Power of Myth,The Power of Myth,en-GB
John Scalzi,2014,Lock In,"Lock In (Lock In, #1)",eng
Jo Baker,2013,Longbourn,Longbourn,eng
"Cary Elwes, Joe Layden, Various, Rob Reiner",2014,As You Wish: Inconceivable Tales from the Making of The Princess Bride,As You Wish: Inconceivable Tales from the Making of The Princess Bride,eng
Peggy Rathmann,1994,"Good Night, Gorilla","Good Night, Gorilla",
Robyn Schneider,2013,"Severed Heads, Broken Hearts",The Beginning of Everything,eng
Jude Watson,2009,"In Too Deep (The 39 Clues, Book 6)","In Too Deep (The 39 Clues, #6)",eng
"Frank W. Abagnale, Stan Redding",1980,Catch Me If You Can,Catch Me If You Can: The True Story of a Real Fake,eng
Laurell K. Hamilton,2001,"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)","Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",eng
Gary Zukav,1989,,The Seat of the Soul,en-US
J. Kenner,2013,Claim Me,"Claim Me (Stark Trilogy, #2)",eng
Marisha Pessl,2006,Special Topics in Calamity Physics,Special Topics in Calamity Physics,eng
Josh Malerman,2014,Bird Box,Bird Box,eng
Dan Wells,2012,Partials,"Partials (Partials Sequence, #1)",en-US
Timothy Egan,2006,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,en-US
Ellen Marie Wiseman,2013,What She Left Behind,What She Left Behind,eng
Sara Shepard,2008,Wicked,"Wicked (Pretty Little Liars, #5)",eng
Vince Flynn,1999,Transfer of Power,"Transfer of Power (Mitch Rapp, #3)",eng
Sylvia Plath,1965,Ariel,Ariel,eng
"Scott Snyder, Greg Capullo, Jonathan Glapion",2012,"Batman, Volume 1: The Court of Owls","Batman, Volume 1: The Court of Owls",eng
Christopher Moore,1992,Practical Demonkeeping,"Practical Demonkeeping (Pine Cove, #1)",en-US
Raymond Khoury,2006,The Last Templar,"The Last Templar (Templar, #1)",eng
Kathy Griffin,2009,Official Book Club Selection: A Memoir According to Kathy Griffin,Official Book Club Selection: A Memoir According to Kathy Griffin,en-US
"Milan Kundera, Aaron Asher",1979,Kniha smíchu a zapomnění,The Book of Laughter and Forgetting,eng
Nicholas Evans,1995,The Horse Whisperer,The Horse Whisperer,en-US
Sherry Argov,2009,Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own In A Relationship,Why Men Love Bitches: From Doormat to Dreamgirl—A Woman's Guide to Holding Her Own in a Relationship,
Sara Shepard,2010,Wanted,"Wanted (Pretty Little Liars, #8)",en-US
Kim Harrison,2008,The Outlaw Demon Wails ,"The Outlaw Demon Wails (The Hollows, #6)",en-US
"Edwin A. Abbott, Banesh Hoffmann",1884,Flatland: A Romance of Many Dimensions,Flatland: A Romance of Many Dimensions,en-US
Libba Bray,2012,The Diviners,"The Diviners (The Diviners, #1)",en-US
Tim Tharp,2008,The Spectacular Now,The Spectacular Now,eng
"Erich Fromm, Peter D. Kramer, Rainer Funk",1956,The Art of Loving,The Art of Loving,eng
Suzanne Collins,2007,Gregor and the Code of Claw,"Gregor and the Code of Claw (Underland Chronicles, #5)",
Terry Pratchett,1990,Eric,"Eric (Discworld, #9; Rincewind #4)",en-US
"Neil Gaiman, Shawn McManus, Colleen Doran, Bryan Talbot, George Pratt, Stan Woch, Dick Giordano, Todd Klein",1993,The Sandman: A Game of You,A Game of You (The Sandman #5),eng
Marian Keyes,2004,The Other Side of the Story,The Other Side of the Story,
Pat Conroy,1975,Beach Music,Beach Music,eng
Francine Rivers,1994,"An Echo in the Darkness (Mark of the Lion, #2)","An Echo in the Darkness (Mark of the Lion, #2)",en-US
Mary E. Pearson,2014,The Kiss of Deception,"The Kiss of Deception (The Remnant Chronicles, #1)",eng
James Clavell,1966,Tai-Pan,"Tai-Pan (Asian Saga, #2)",eng
Eleanor Brown,2011,The Weird Sisters,The Weird Sisters,en-US
Terry Pratchett,2000,The Truth,"The Truth (Discworld, #25; Industrial Revolution, #2)",eng
Tom Perrotta,2011,The Leftovers,The Leftovers,en-US
Mihaly Csikszentmihalyi,1990,Flow: The Psychology of Optimal Experience,Flow: The Psychology of Optimal Experience,eng
"Margaret Weis, Tracy Hickman",1985,,"Dragons of Winter Night (Dragonlance: Chronicles, #2)",eng
Portia de Rossi,2010,,Unbearable Lightness: A Story of Loss and Gain,
Lisa Kleypas,2007,Mine Till Midnight,"Mine Till Midnight (The Hathaways, #1)",eng
"Carl Bernstein, Bob Woodward",1974,All the President's Men,All the President's Men,eng
Andrea Cremer,2011,,Wolfsbane (Nightshade #2; Nightshade World #5),eng
"George Eliot, A.S. Byatt",1860,The Mill on the Floss,The Mill on the Floss,eng
Gary Shteyngart,2010,Super Sad True Love Story,Super Sad True Love Story,eng
Robin McKinley,1982,,"The Blue Sword (Damar, #1)",
J.R. Ward,2013,Lover at Last,"Lover at Last (Black Dagger Brotherhood, #11)",eng
"Michelle Rowen, Richelle Mead",2011,,Vampire Academy: The Ultimate Guide (Vampire Academy),eng
C.S. Lewis,1955,Surprised by Joy: The Shape of My Early Life,Surprised by Joy: The Shape of My Early Life,eng
Douglas R. Hofstadter,1979,"Gödel, Escher, Bach: An Eternal Golden Braid","Gödel, Escher, Bach: An Eternal Golden Braid",eng
Tamora Pierce,2004,Trickster's Queen,"Trickster's Queen (Daughter of the Lioness, #2)",eng
"Robert Frost, Edward Connery Lathem",1969,,"The Poetry of Robert Frost (Collected Poems, Complete & Unabridged)",eng
Rodman Philbrick,1993,Freak the Mighty,"Freak the Mighty (Freak The Mighty, #1)",eng
Jennifer E. Smith,2013,This Is What Happy Looks Like,"This Is What Happy Looks Like (This is What Happy Looks Like, #1)",eng
Philip Yancey,1997,What's So Amazing About Grace?,What's So Amazing About Grace?,en-US
Vince Flynn,2012,Kill Shot,"Kill Shot (Mitch Rapp, #2)",eng
Jean M. Auel,1990,The Plains of Passage,"The Plains of Passage (Earth's Children, #4)",en-US
Jeff Kinney,2013,Hard Luck,"Hard Luck (Diary of a Wimpy Kid, #8)",eng
