OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN209652 (CONTRACT-YORE-9CKGNN),Interim Education Provision for Children with Complex Special Educational Needs (SEN),Childrens Services,"A�framework of teaching supply agencies from the existing Provision of 
Temporary Teachers & Support Staff Framework (LCC18677) to deliver 
one-to-one tuition for individual children with complex special educational 
needs who are not on school roll, as and when they arise.",01/04/2014,31/08/2017,28/02/2017,,30/09/2017,12,0,"�881,069.00",�0.00,Please view tab 2 on excel sheet,Helen Stevens,Not provided,No,N/A,"one-to-one, tuition, complex, education"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198648 (CONTRACT-A8CC-KWLBQ4),Interim Extra Care Housing onsite care presence plus planned care � Yew Tree Court & Rosewood Court,Adult Social Care,"Provision of 733 hours per week of planned care and support and onsite staffing 
presence to respond to alarm calls and provide ambient support",01/04/2016,31/08/2017,31/03/2017,,30/09/2017,0,0,"�582,839.00",�0.00,Please view tab 2 on excel sheet,Mark Phillott,Not provided,No,N/A,"Extra, Care, Housing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195125 (CONTRACT-9ZHB-VR4LVQ),ITS150002 Support of Waste Collection Route Optimisation Software,Environment and Neighbourhoods,"The provision of support for the Council's existing Waste Collection Route 
Optimisation Software.",01/09/2015,31/08/2018,31/08/2017,,30/09/2018,12,0,"�94,656.00",�0.00,Please view tab 2 on excel sheet,Tom Smith,Not provided,No,N/A,"Route, Optimisation, Software, Waste"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194335 (CONTRACT-9XYQ-366F7E),ITS150027 Insight Annual Service,Resources - ICT,Annual Service Charge,01/06/2015,31/05/2017,30/11/2016,,30/06/2017,0,0,"�55,936.00",�0.00,Please view tab 2 on excel sheet,Roy Banks,Not provided,No,N/A,"Insight, Annual"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN264002,ITS160033 Paritor Support and Maintenance,Childrens Services,Paritor Support and Maintenance,22/05/2017,30/04/2018,08/01/2018,,30/05/2018,12,0,"�8,000.00",�0.00,Please view tab 2 on excel sheet,Mr Stephen Wild,Other (Direct Award),No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN240430,ITS160043 Cube Voyager Software Maintenance,Resources - ICT,Provision of Cube Voyager Software Maintenance,01/01/2017,31/12/2017,02/08/2017,,31/01/2018,0,0,"�12,768.75",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,Other (Direct Award),No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN233890,ITS200360 Hydra Maintenance Renewal,Strategy and Resources,ITS200360 Hydra Maintenance Renewal,01/04/2017,30/09/2017,31/07/2017,,30/09/2017,6,0,"�9,155.00",�0.00,Please view tab 2 on excel sheet,Ms Rebecca Jefferies,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN233145,ITS200373 Oracle Corporation Ltd Technical Support Services,Resources - ICT,Provision of Oracle Technical Support Services,21/02/2017,30/05/2018,01/11/2017,,30/06/2018,12,0,"�135,000.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,RFQ,No,N/A,"support, consultancy, ict, software"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN253375,"ITS200480 Autodesk License, Support and Professional Services Framework",Resources - ICT,"Provision of Autodesk License, Support and Professional Services.",25/06/2017,25/06/2019,30/07/2018,,25/07/2019,12,0,"�350,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Stephanie Dunn,ITT,Yes,N/A,"maintenance, BIM, renewal, Autocad, Design, CAD"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN253784,ITS200483 TYG Online Ticketing Solution,Resources - ICT,Provision of Online ticketing solution for Leeds City Council Attractions and events,07/04/2017,06/04/2018,08/01/2018,,06/05/2018,12,0,"�30,000.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,Other (Direct Award),No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201378 (CONTRACT-ACWF-VJ92O9),Job Coach - Supported Internships,Childrens Services,Job Coach support for young people on Supported Internships,05/09/2016,31/08/2017,31/05/2017,,30/09/2017,0,0,"�25,000.00",�0.00,Please view tab 2 on excel sheet,Ms Mary Brittle,RFQ,No,N/A,"Job Coach, Supported Internship"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191060 (CONTRACT-9RUR-BBYAFC),Joint Service Centres,Citizens and Communities,Joint Service Centres at Reginald & Compton Centres,12/06/2009,18/10/2035,18/10/2033,,18/11/2035,0,0,"�39,283,000.00",�0.00,Please view tab 2 on excel sheet,Susan Murray,Not provided,No,N/A,"Joint, Services"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN211151 (CONTRACT-YORE-9FME6H),Keeping in Touch,Adult Social Care,Keeping in Touch,01/04/2014,31/03/2018,01/09/2017,,30/04/2018,12,0,"�301,576.00",�0.00,Please view tab 2 on excel sheet,Mr Ivan Barnett,RFQ,No,N/A,Keep in Touch
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN231094,Killingbeck Meadows Natural Flood Management Scheme - Appointment of All Reserviors Panel Engineer,Environment & Housing,"The proposed scheme comprises an off line storage reservoir which will hold circa 25,000m3 of water.  The storage will be created by building an earth embankment along the edge of the watercourse, which will turn through 90 deg at the downstream end and run into higher ground up the side of the Valley.",06/12/2016,06/12/2020,06/10/2020,,06/01/2021,N/A,0,"�12,000.00",�0.00,Please view tab 2 on excel sheet,Mr Richard Tinker,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198885 (CONTRACT-A8XG-ZJN3A7),Kinship Care Assessments,Childrens Services,"To provide Kinship Care Assessments �and related supervising social worker 
role support for up to 11 assessments.",01/06/2016,31/05/2019,30/11/2018,,30/06/2019,12,0,"�105,000.00",�0.00,Please view tab 2 on excel sheet,Michelle Whippey,Not provided,No,N/A,"Kinship, Care, Assessment"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193239 (CONTRACT-9VYD-L5I2CS),Kirklees Council - Surface Dressing of Footways and Carriageways West Yorkshire Contract KMCHS-140 1 February 2014 - 31 January 2018 (Quasi),City Development,"Kirklees Council - Surface Dressing of Footways and Carriageways West Yorkshire 
Contract KMCHS-140 1 February 2014 - 31 January 2018 (Quasi)",01/02/2014,31/01/2018,31/01/2018,,28/02/2018,0,0,"�4,000,000.00",�0.00,Please view tab 2 on excel sheet,Richard Tinker,Not provided,No,N/A,"surface, dressing, footways, carriageways"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200572 (CONTRACT-ABDK-LF3W01),Kirkstall Road Re-use Shop,Environment and Neighbourhoods,Fit out and operation and management of a waste reuse shop within a council owned Household Waste Site and Transfer Station.,14/11/2016,13/11/2021,12/11/2020,,13/11/2021,0,0,"-�275,000.00",�0.00,Please view tab 2 on excel sheet,Mr Edward Walton,RFQ,No,N/A,"Reuse, Shop, Waste, Recycling"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN206240 (CONTRACT-YORE-95RJRK),KMCHS-113 SPECIALIST SURFACE TREATMENT WORKS WEST YORKSHIRE CONTRACT 1 MAY 2013 - 30 APRIL 2017,Streetscene and Housing,"The Works will consist of the provision of labour, plant, materials and 
traffic management to carry out Specialist Surface Treatment Works within the 
administrative areas of Kirklees Council, Leeds City Council, City of Wakefield 
Metropolitan Council, Bradford Metropolitan District Council, Calderdale 
Council any other Local Authority (as defined in the Local Government Act 1972) 
within the Yorkshire and Humber Region. Details of the relevant Local 
Authorities who may participate under this Framework Contract can be found at: 
http 
://local.direct.gov.uk/LDGRedirect/MapLocationSearch.do?mode=1.1& 
amp;map=4.  
For the purposes of the Framework Agreement, all of the other Local 
Authorities shall hereafter be defined as the �Contracting Authorities� for 
whom Kirklees Council will act as the Contract Administrator in relation to the 
Framework Agreement. 
These Works may include: 
Proprietary Surfacing Works 
Works will include proprietary surfacing works together with the adjustment 
of ironwork as necessary. Contractors should also include details and rates for 
all proprietary surfacing processes they can offer for both carriageways and 
footways. The Contract also requires the proprietary surfacing Contractor to 
reinstate any Road marking and road studs that is covered by the proprietary 
surfacing works.  
High Friction Surfacing Works 
Works are to include the supply and laying of proprietary high friction 
surface treatments to existing carriageway surfacing and the installation of 
Road markings and Road studs related to these surface treatments. The Contract 
also requires remedial works to existing areas of high friction surface 
treatments where the carriageway has been reconstructed for whatever purpose. 
General resurfacing of worn areas of existing High Friction Surface Treatments 
may also be required. 
Please note that neither Kirklees Council nor the other Contracting 
Authorities provide any storage or garaging facilities. 
If required, the contractor will be expected to act in the Principal 
Contractor role under the Construction (Design and Management) Regulations 
2007.",01/05/2013,30/09/2017,02/08/2017,,31/12/2017,0,0,"�26,000,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Beverley Martin,ITT,No,Framework,"Retread, High Friction, Proprietary, Footway Slurry, Micro Asphalt"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN207214 (CONTRACT-YORE-97ZGUJ),"KMCHS-127 Hire of Civil Engineering Plant, Vehicles and Equipment With and Without Operator(s) West Yorkshire Contract",Streetscene and Housing,"The Services will consist of the Hire of Civil Engineering Plant, Vehicles 
and Equipment with Operators.  
The Councils will also need to hire Plant, Vehicles 
and Equipment 
without Operators, within the administrative areas of Kirklees Council, Leeds 
City Council, City of Wakefield Metropolitan Council, Bradford Metropolitan 
District Council, Calderdale Council and any other Local Authority (as defined 
in the Local Government Act 1972) within the Yorkshire and Humber Region.",01/09/2013,31/08/2017,31/03/2017,,31/08/2018,0,0,"�23,000,000.00",�0.00,Please view tab 2 on excel sheet,Beverley Martin,Not provided,No,N/A,"Hire, Civil Engineering Plant, Vehicles, With Operatives, Without Operators"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194288 (CONTRACT-9XUL-NK8K6P),KMCHS-183 Framework Agreement for the Provision of Room Hire Facilities for Driver Training within West Yorkshire 1 January 2016 to 31 August 2018,Streetscene and Housing,"Kirklees Council, on behalf of West Yorkshire Police, deliver driver 
improvement courses to members of the public who have been given the option to 
attend a course as an alternative to prosecution. The Council is looking to 
source venues from which to deliver the training courses.
 
 The 
Council wishes to establish a framework Agreement with a maximum of 3 providers 
for each region (Lot), Leeds - Lot 1, Bradford - Lot 2, Wakefield - Lot 3, and 
Kirklees/Calderdale - Lot 4, with suitable venues to host driver improvement 
courses which will be procured from the Provider(s) from time to time as 
required. You can tender for one or more or all. There will be no limitation to 
number of Lots awarded to any one tenderer, based on lowest price.",01/01/2016,31/08/2018,28/02/2018,,31/08/2019,0,0,"�650,000.00",�0.00,Please view tab 2 on excel sheet,Beverley Martin,Not provided,Yes,Framework,Meeting Room Hire
