RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Sharlketh Ltd,"Unit 8 Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",76508723,530,Workshop And Premises,13
Setbray Properties Ltd,"Suite 4 2ND Flr Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552757,5800,Offices And Premises,21
Setbray Properties Ltd,"Suite 3 1ST Floor Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552758,18500,Offices And Premises,21
Setbray Properties Ltd,"Suite 2 1ST Floor Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552759,14250,Offices And Premises,21
Setbray Properties Ltd,"Suite 1 Gf Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552760,14250,Offices And Premises,21
,"8 West End Terrace, Mytholmroyd, Hebden Bridge, HX7 5DW",76580008,1675,Shop and Premises,18
,"72 West Street, Sowerby Bridge, HX6 3AP",76648072,4650,Shop And Premises,21
,"Unit 2, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648752,7700,Warehouse And Premises,21
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,260,Office,13
,"Moorside Farm, Weather Hill Lane, Cragg Vale, Hebden Bridge        HX7 5TY",76659701,8500,Kennels Stable And Premises,21
,"Moorside Hayloft, Moorside Farm, Coppy Nook Lane, Cragg Vale           HX7 5TY",76677701,1500,Self Catering Holiday Unit And Premises,18
,"16 Union Street, Hebden Bridge, HX7 8BQ",76685016,4500,Offices And Premises,21
Units To Let [Northern] Ltd,"Unit 30A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",77024730,700,Workshop And Premises,13
Units To Let [Northern] Ltd,"Unit E First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",77024766,1300,Store And Premises,18
,"2 Boston Street, Sowerby Bridge, HX6 1DP",77080002,1875,Shop and Premises,13
,"The Pump House, Broad Hollin Farm, Hollins Lane, Ripponden           HX6 4LE",77102700,1250,Store And Premises,18
,"13 Hill Crest, Burnley Road, Sowerby Bridge, HX6 2TJ",77108712,2500,Shop and Premises,18
Machine Tool Technology Group Ltd,"Quarry House, Burnley Road, Sowerby Bridge, HX6 2TF",77108729,7400,Offices and Premises,21
Sowerby Bridge Wharf Ltd,"Grd Flr, Lower Calder House, The Wharf, Sowerby Bridge, HX6 2AG",77124702,3050,Offices and Premises,6
Gardner Jorissen Ltd,"Unit 11, No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",77124704,2175,Offices And Premises,13
Howard Smith Paper Ltd,"Unit C 2ND Floor, Salt Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",77128714,16250,Offices and Premises,6
British Waterways,"Salt Warehouse, Canal Wharf, Sowerby Bridge, HX6 2AG",77128716,16750,Restaurant and Premises,6
British Waterways Board,"Unit 3 First Floor, No. 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",77128733,6000,Offices and Premises,6
Gardner Jorissen Ltd,"Unit 10 No 2 Warehouse, Canal Wharf, Sowerby Bridge, HX6 2AG",77128742,2050,Shop And Premises,18
,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ",77160701,680,Workshop And Premises,13
,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ",77160702,270,Store And Premises,13
,"Unit 1, 3 Corporation Street, Sowerby Bridge, HX6 2QQ",77160709,3300,Vehicle Repair Workshop And Premises,21
,"Office 6, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",77196709,1225,Offices and Premises,18
,"Crown Buildings, 97 Halifax Road, Ripponden, HX6 4DA",77240097,1625,Shop and Premises,13
H H Beaumont Trust,"Crown Buildings, 99 Halifax Road, Ripponden, HX6 4DA",77240099,3050,Shop and Premises,21
,"125 Halifax Road, Ripponden, Sowerby Bridge, HX6 4DA",77240125,2425,Shop and Premises,18
H H Beaumont Trust,"Crown Buildings, 95/97 Halifax Road, Ripponden, Sowerby Bridge      HX6 4DA",77240715,405,Store,13
,"Unit 1, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276704,1725,Workshop And Premises,18
Calderdale Mbc Adults Health And Social Care,"Council Offices, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276709,12250,Offices and Premises,21
Director Of Safer & Stronger Communities,"Sowerby Bridge Baths, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276715,2000,Swimming Pool And Premises,13
Calderdale Mbc Land & Property Services,"Ground Floor, West Yorkshire Fire Station, Hollins Mill Lane, Sowerby Bridge       HX6 2QG",77276728,2200,Workshop And Premises,13
Calderdale Mbc Land & Property Services,"West Yorkshire Fire Service, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276729,3650,Workshop And Premises,21
,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276733,25250,Warehouse And Premises,21
Units To Let [Northern] Ltd,"Storage Land At, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340703,1725,Car Park,18
Units To Let [Northern] Ltd,"Unit 2 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",77340710,580,Store And Premises,13
Units To Let [Northern] Ltd,"Unit 3 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",77340713,620,Store And Premises,18
Units To Let ( Northern ) Ltd,"Unit 4 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",77340714,610,Store And Premises,13
Units To Let [Northern] Ltd,"Unit 7 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",77340719,620,Store And Premises,18
Units To Let [Northern] Ltd,"Container No. 3, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340732,200,Steel Container,13
Units To Let [Northern] Ltd,"Unit 10, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340735,1675,Warehouse And Premises,18
Units To Let [Northern] Ltd,"Unit 5 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340742,950,Store And Premises,18
Units To Let [Northern] Ltd,"Unit 11 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340746,610,Band Practice Room,13
,"Mill Fold Canteen, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",77348708,1300,Store And Premises,13
Units To Let [Northern] Ltd,"Unit 16, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352707,1775,Garage And Premises,6
Units To Let [Northern] Ltd,"Unit 17a, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN",77352708,405,Store And Premises,6
Units To Let [Northern] Ltd,"Unit 37, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",77352717,1350,Store And Premises,3
Units To Let [Northern] Ltd,"Unit 7c, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",77352723,1675,Workshop And Premises,6
Units To Let (Northern) Ltd,"Unit 8, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352724,1625,Workshop And Premises,6
Units To Let [Northern] Ltd,"Mill House Works, Mill House Lane, Triangle, HX6 3LN",77352735,530,Workshop And Premises,6
Units To Let [Northern] Ltd,"Unit 17B Mill House Works, Mill House Lane, Triangle, Sowerby Bridge      HX6 3LN",77352736,770,Store And Premises,6
Units To Let [Northern] Ltd,"Unit 23, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",77352741,1750,Store And Premises,6
Units To Let [Northern] Ltd,"Unit 24 Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",77352745,1675,Workshop And Premises,13
Units To Let ( Northern ) Ltd,"Unit 32 Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",77352746,1575,Workshop And Premises,18
Units To Let [Northern] Ltd,"Part 1ST & 2ND Floor, Unit 18 Mill House Works, Triangle, Sowerby Bridge       HX6 3LN",77352751,940,Store And Premises,18
Frank Langfield Ltd,"Unit 1, Langfield Busines Park, Norland Road, Sowerby Bridge       HX6 3DF",77388705,11500,Workshop And Premises,21
Langfield Investments Ltd,"Unit 2 & 3, Langfield Business Park, Norland Road, Sowerby Bridge       HX6 3DF",77388706,7000,Workshop And Premises,21
,"Chapel Field Barn, Old Bank, Ripponden, Sowerby Bridge       HX6 4DG",77400701,5100,Offices And Premises,6
,"Old Cawsey, Sowerby Bridge, HX6 2AJ",77404701,4600,Workshop And Premises,21
Mad Motors Ltd,"Unit 2 Owenshaw Mill, Old Cawsey, Sowerby Bridge, HX6 2AJ",77404709,1650,Store And Premises,13
,"40 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DP",77408040,11250,Shop and Premises,21
C H Property Trustee Quality Course Ltd,"Commercial Mills, Ripponden, Sowerby Bridge, HX6 4EH",77408704,13000,Warehouse And Premises,21
,"Unit 1 First Floor, Commercial Mills, Oldham Road, Ripponden           HX6 4EH",77408707,1650,Store And Premises,18
,"The Grove, Oldham Road, Rishworth, Sowerby Bridge      HX6 4QT",77412705,11000,Warehouse And Premises,21
,"Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",77412717,5600,Offices and Premises,21
Trustees Of Whiteleys Engineering,"Former Cottage, Rishworth Business Complex, Rishworth, Sowerby Bridge       HX6 4EW",77412733,3500,Offices And Premises,21
Kaberry Building Ltd,"Triangle Inn, Rochdale Road, Triangle, Sowerby Bridge      HX6 3NE",77464704,7300,Public House and Premises,6
,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",77476007,5900,Offices and Premises,21
,"Brown Hill, Soyland Town Road, Soyland, Sowerby Bridge       HX6 4ND",77516703,3650,Store And Premises,21
,"Unit 1 Tubend Ltd, Stanley Street, Sowerby Bridge, HX6 2AH",77544701,8300,Workshop And Premises,21
,"Former Coal Drops, Station Road, Sowerby Bridge, HX6 3AB",77552707,6200,Land Used For Storage and Premises,21
Network Rail Ltd,"Bridges Cafe Bar, Station Road, Sowerby Bridge, HX6 3LB",77552708,14000,Public House and Premises,21
Marmerel Ltd,"Unit 3 The Old Post Office, Station Road, Sowerby Bridge, HX6 3AA",77552735,10500,Dance Studio And Premises,3
,"The Bungalows, Hill Top, Sowerby Bridge, HX6 2RN",77580700,680,Workshop And Premises,18
,"35 Tillotson Avenue, Sowerby, Sowerby Bridge, HX6 1BX",77592035,1825,Shop and Premises,13
,"13 Town Hall Street, Sowerby Bridge, HX6 2EA",77600013,3800,Shop and Premises,6
Daniel Thwaites Plc,"17 Town Hall Street, Sowerby Bridge, HX6 2EA",77600017,3800,Offices and Premises,21
,"19 Town Hall Street, Sowerby Bridge, HX6 2EA",77600019,1900,Shop and Premises,13
Daniel Thwaites Plc,"Bulls Head Hotel, Town Hall Street, Sowerby Bridge, HX6 2EA",77600710,8100,Public House and Premises,6
Marmerel Ltd,"8 Victoria Road, Sowerby Bridge, HX6 3AE",77624008,1975,Store And Premises,13
W P Eglin Ltd (In Administration),"Globe Works, Victoria Road, Sowerby Bridge, HX6 3AF",77624706,71000,Factory and Premises,8
Marmerel Ltd,"Victoria Road, Sowerby Bridge, HX6 3AQ",77624708,11500,Workshop And Premises,21
,"Watson Mill Lane, Sowerby Bridge, HX6 3BW",77644716,710,Clubroom And Premises,13
The Owner,"Watson Mill Lane, Sowerby Bridge, HX6 3BW",77644719,12250,Car Sales Site and Premises,17
Rosehill Polymers Ltd,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",77644721,83500,Factory and Premises,12
,"Unit 1, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",77644723,1925,Workshop And Premises,13
,"Unit 4, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",77644726,1875,Workshop And Premises,13
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,6800,Shop and Premises,21
,"Office No 1, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",77648721,1225,Offices and Premises,13
S D H Holdings,"Unit 10, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",77648734,960,Cafe and Premises,13
,"Unit 8 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BS",77648745,2250,Store And Premises,18
,"3 Wharf Street, Sowerby Bridge, HX6 2EG",77652003,2850,Shop and Premises,21
,"9 Wharf Street, Sowerby Bridge, HX6 2EG",77652009,3800,Shop And Premises,21
,"47 Wharf Street, Sowerby Bridge, HX6 2LB",77652047,2800,Shop and Premises,3
Units To Let [Northern] Ltd,"Unit 16B First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690713,960,Store And Premises,13
Units To Let [Northern] Ltd,"Unit 31A Ground Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690714,570,Store And Premises,13
Units To Let [Northern] Ltd,"Unit 29A First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690715,2175,Store And Premises,13
Units To Let [Northern] Ltd,"Unit 29B First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690716,2275,Store And Premises,13
Williams Inc Ltd,"Room 1, 3 Park Street, Sowerby Bridge, HX6 2BF",77697702,1250,Offices And Premises,13
,"Alma Works, Alma Street, Todmorden, OL14 6QJ",78008702,2375,Workshop And Premises,13
P & M Services Ltd,"Stoneswood Mill, Bacup Road, Todmorden, OL14 7HG",78024701,10500,Factory and Premises,21
Industrial Supplies Todmorden Ltd,"The Chapel Unit, St Aidens Buildings, Bacup Road, Todmorden           OL14 7PJ",78024715,4200,Workshop And Premises,21
Industrial Supplies Todmorden Ltd,"Part 1ST Floor, St Aidens Works, Bacup Road, Todmorden           OL14 7PJ",78024734,1725,Store And Premises,13
,"Woodlands View, Bacup Road, Todmorden, OL14 7HW",78024736,1700,Lecture Hall,13
Industrial Supplies Todmorden Ltd,"Part Second Floor, St Aidens Works, Bacup Road, Todmorden           OL14 7PJ",78024738,400,Store And Premises,13
Calderdale Mbc Markets Manager,"Stalls 6/7 Market Hall, Brook Street, Todmorden, OL14 5AJ",78068704,2950,Market Stall And Premises,21
Calderdale Mbc Markets Manager,"Stalls 21/22 Market Hall, Brook Street, Todmorden, OL14 5AJ",78068713,3100,Market Stall And Premises,21
,"37 Burnley Road, Todmorden, OL14 7BU",78076037,4850,Studio,21
Calderdale Mbc,"Calder College Pt Grd Fl, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",78076513,10750,College And Premises,21
Asda Stores Ltd,"Kwiksave, Burnley Road, Todmorden, OL14 7BU",78076709,31750,Shop and Premises,21
,"Scaitcliffe Hall, Burnley Road, Todmorden, OL14 7DQ",78076729,48000,Hotel And Premises,6
Westfield Properties,"Unit 8, Lineholme Industrial Estate, Burnley Road, Todmorden           OL14 7DH",78076747,6100,Restaurant and Premises,3
Asda Stores Ltd,"Ridgefoot, Burnley Road, Todmorden, OL14 7BZ",78076800,25250,Health Centre and Premises,21
Westfield Properties Ltd,"Unit 7a, Lineholme Mill, Burnley Road, Todmorden           OL14 7DH",78076807,560,Store And Premises,13
Robin Wood Property Services,"Unit 8C Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",78076875,2225,Store And Premises,13
Robin Wood Property Services,"Unit 9 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",78076884,2350,Warehouse And Premises,13
Burnley Road Ltd,"Stubley Lane Works, Burnley Road, Todmorden, OL14 7EF",78076897,5000,Land Used For Storage And Premises,17
Tayfield Investments Ltd,"Car Park Adj Sandholme, Sawmill,  Key Sike Lane, Todmorden, OL14 5RF",78100701,700,Car Park And Premises,13
Tayfield Investments Ltd,"Sandholme Mills, Commercial Street, Todmorden, OL14 5RG",78100703,29250,Factory And Premises,21
Tayfield Investments Ltd,"Stores Adj, Sandholme Mills, Commercial Street, Todmorden           OL14 5RG",78100704,6400,Store And Premises,21
,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",78176700,1600,Factory and Premises,13
,"11 Halifax Road, Todmorden, OL14 5AG",78192011,7900,Shop and Premises,3
,"19 Halifax Road, Todmorden, OL14 5AG",78192019,5000,Shop and Premises,21
Merrie Men Inns Preston Ltd,"22 Halifax Road, Todmorden, OL14 5QG",78192022,2850,Offices and Premises,21
,"55 Halifax Road, Todmorden, OL14 5BB",78192055,5200,Showroom And Premises,21
,"Enterprise House, 250 Halifax Road, Todmorden, OL14 5SQ",78192250,9500,Workshop And Premises,12
,"281 Halifax Road, Todmorden, OL14 5SQ",78192281,1450,Shop and Premises,13
,"3 Bridge Street, Todmorden, OL14 5AQ",78192709,2475,Offices and Premises,18
Finestreet Ltd,"21e Halifax Road, Todmorden, OL14 5AG",78192776,1375,Salon,13
Makin Dixon Solicitors,"32 Halifax Road, Todmorden, OL14 5QG",78192777,5600,Shop and Premises,21
Todmorden W M Social Club,"Hand Car Wash, R/O Tod W M Club, Halifax Road, Todmorden           OL14 5QG",78192819,850,Store and Premises,18
,"Harley Mill, Harley Street, Todmorden, OL14 5JE",78208702,7800,Workshop And Premises,21
Ideal Boats Company Ltd,"Woodbottom Mill, Todmorden, OL14 6PG",78224701,10000,Factory and Premises,9
Roch Valley Homes Ltd,"Unit 7 Hollins Mill, Hollins Road, Todmorden, OL14 6QF",78224703,5100,Workshop And Premises,6
,"Maitland Street, Todmorden, OL14 7SS",78300700,1100,Shop and Premises,13
Pennine Housing 2000 Ltd,"118 Oak Avenue, Todmorden, OL14 5PD",78340118,1925,Shop and Premises,13
Pennine Housing 2000 Ltd,"122 Oak Avenue, Todmorden, OL14 5PD",78340122,2325,Post Office And Premises,13
Pennine Housing 2000 Ltd,"124 Oak Avenue, Todmorden, OL14 5PD",78340124,2025,Shop and Premises,13
,"102 Rochdale Road, Todmorden, OL14 7LP",78400102,1800,Garage And Premises,18
Roch Valley Homes Ltd,"Rear Hollins Mill, Rochdale Road, Todmorden, OL14 6SJ",78400702,4800,Workshop And Premises,6
,"777 Rochdale Road, Todmorden, OL14 6TG",78400758,1825,Hairdressing Salon and Premises,13
Gordon Rigg (Nurseries) Ltd,"Car Park, Near Travis House, Rochdale Road, Todmorden           OL14 6LD",78400779,1000,Car Park,13
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,610,Store And Premises,13
,"Unit 15 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",78400822,2900,Workshop And Premises,12
,"The Old Fire Station, Rochdale Road, Todmorden, OL14 7NA",78400823,2275,Warehouse And Premises,18
,"The Old Fire Station, Rochdale Road, Todmorden, OL14 7NA",78400827,1600,Store And Premises,18
Roch Valley Homes Ltd,"Unit 6 Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",78400842,1825,Store And Premises,18
,"The Old Fire Station, Quality Works, Rochdale Road, Todmorden           OL14 7NA",78400846,7600,Warehouse And Premises,21
Adhan Property Consultants Ltd,"Unit 2, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",78408703,2950,Workshop And Premises,21
Exors Of Mr G R Rower,"19b School Lane, Todmorden, OL14 5AP",78412702,2225,Offices and Premises,13
,"Unit 4, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",78416714,1800,Workshop And Premises,18
,"Unit 2, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",78416716,1900,Workshop And Premises,18
Foodmac International Ltd,"Pt Stoodley Bridge Mill, Stoodley Lane, Todmorden, OL14 6HA",78468701,5700,Workshop And Premises,21
,"Unity Street, Walsden, Todmorden, OL14 7SR",78496700,1100,Store And Premises,13
Whitham Mills Engineering Ltd,"Unit 1C Crow Carr Ings Mill, Vale Street, Todmorden, OL14 5HG",78500718,5900,Workshop And Premises,12
,"First Floor, 4 West Street, Todmorden, OL14 5HY",78520703,2750,Offices and Premises,3
,"Store Ref 2 & 3, West Street, Todmorden, OL14 5HY",78520704,1700,Store And Premises,13
Westfield Properties,"Store Ref 1, West Street, Todmorden, OL14 5HY",78520705,1600,Store And Premises,13
,"5 Winterbutlee Road, Todmorden, OL14 7QT",78530005,8500,Day Nursery And Premises,21
,"Glen Cottage, Woodbine Terrace, Todmorden, OL14 8NL",78532700,2950,Club and Premises,21
Richard Coupe Ltd,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HA",78547704,2150,Workshop And Premises,18
,"Land Adj. Hartsoil House, Highmoor Lane, Cleckheaton, BD19 6LL",79048704,8000,Garden Centre And Premises,3
