ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,610.12,NURSING LONG TERM,V001072986
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,884.7,RESIDENTIAL LONG TERM,V001072987
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,09/12/2016,970,RESIDENTIAL LONG TERM,V001072988
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072989
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072990
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001072991
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,09/12/2016,565.44,RESIDENTIAL LONG TERM,V001072993
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001072994
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HANDSALE LTD,09/12/2016,850,NURSING LONG TERM,V001072997
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HC ONE,09/12/2016,2400,RESIDENTIAL LONG TERM,V001072999
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,592.22,RESIDENTIAL LONG TERM,V001073000
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HORIZON  RESIDENTIAL HOMES LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073001
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,09/12/2016,580.98,RESIDENTIAL LONG TERM,V001073002
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073003
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LIVABILITY,09/12/2016,1633.84,RESIDENTIAL LONG TERM,V001073004
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073005
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,09/12/2016,637.3,RESIDENTIAL LONG TERM,V001073007
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,09/12/2016,900,RESIDENTIAL LONG TERM,V001073008
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,593.3,RESIDENTIAL LONG TERM,V001073009
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,09/12/2016,598.12,NURSING LONG TERM,V001073010
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073011
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,558.78,RESIDENTIAL LONG TERM,V001073012
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,09/12/2016,571.08,RESIDENTIAL LONG TERM,V001073013
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,09/12/2016,557.4,RESIDENTIAL LONG TERM,V001073014
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,582.12,RESIDENTIAL LONG TERM,V001073016
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,09/12/2016,592.12,RESIDENTIAL LONG TERM,V001073018
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,09/12/2016,569.98,RESIDENTIAL LONG TERM,V001073023
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,TURNING POINT,09/12/2016,910,RESIDENTIAL LONG TERM,V001073024
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,09/12/2016,2319,RESIDENTIAL LONG TERM,V001073025
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,09/12/2016,554.2,RESIDENTIAL LONG TERM,V001073026
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,614.12,NURSING LONG TERM,V001073027
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,1049.3,RESIDENTIAL LONG TERM,V001073028
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,09/12/2016,529.5,RESIDENTIAL LONG TERM,V001073030
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073031
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,09/12/2016,610.98,RESIDENTIAL LONG TERM,V001073032
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,09/12/2016,552.26,RESIDENTIAL LONG TERM,V001073033
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,599.36,RESIDENTIAL LONG TERM,V001073034
ROCHDALE BOROUGH COUNCIL,08/12/2016,CHILDREN�S SOCIAL CARE,BURY MBC,08/12/2016,-548,OTHER LOCAL AUTHORITIES,V001073035
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,09/12/2016,542.56,RESIDENTIAL LONG TERM,V001073036
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,510.84,RESIDENTIAL LONG TERM,V001073037
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,09/12/2016,506.34,RESIDENTIAL LONG TERM,V001073038
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001073039
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,DENTAK CARE AND SERVICES LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001073040
ROCHDALE BOROUGH COUNCIL,08/12/2016,CHILDREN�S SOCIAL CARE,BURY MBC,08/12/2016,548,OTHER LOCAL AUTHORITIES,V001073041
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073042
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,THE REGARD PARTNERSHIP LIMITED,09/12/2016,2470.02,RESIDENTIAL LONG TERM,V001073043
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073044
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,529.1,RESIDENTIAL LONG TERM,V001073046
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BOROUGH CARE,09/12/2016,521.68,RESIDENTIAL LONG TERM,V001073048
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BOROUGH CARE,09/12/2016,521.68,RESIDENTIAL LONG TERM,V001073049
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,09/12/2016,657.29,RESIDENTIAL LONG TERM,V001073050
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,FOUR SEASONS HEALTHCARE,09/12/2016,629.36,RESIDENTIAL LONG TERM,V001073052
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073053
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073054
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,FERN BANK REST HOME,09/12/2016,1433,RESIDENTIAL LONG TERM,V001073056
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001073057
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,09/12/2016,884.7,RESIDENTIAL LONG TERM,V001073058
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001073059
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073060
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,543.8,RESIDENTIAL LONG TERM,V001073062
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001073063
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,09/12/2016,578.1,RESIDENTIAL LONG TERM,V001073064
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,884.7,RESIDENTIAL LONG TERM,V001073065
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073067
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001073068
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001073069
ROCHDALE BOROUGH COUNCIL,08/12/2016,CHILDREN�S SOCIAL CARE,BURY MBC,08/12/2016,500,OTHER LOCAL AUTHORITIES,V001073070
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,631.3,RESIDENTIAL LONG TERM,V001073072
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,09/12/2016,596.06,NURSING LONG TERM,V001073073
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001073074
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,WHITWORTH CARE TRUST,09/12/2016,802.48,RESIDENTIAL LONG TERM,V001073075
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,523.72,RESIDENTIAL LONG TERM,V001073076
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001073078
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,FERN BANK REST HOME,09/12/2016,847.7,RESIDENTIAL LONG TERM,V001073079
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,09/12/2016,585.9,NURSING LONG TERM,V001073080
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073084
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,09/12/2016,566.04,RESIDENTIAL LONG TERM,V001073086
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001073088
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,09/12/2016,510.4,RESIDENTIAL LONG TERM,V001073089
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,578.76,RESIDENTIAL LONG TERM,V001073090
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,09/12/2016,511.94,RESIDENTIAL LONG TERM,V001073092
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,09/12/2016,547.72,RESIDENTIAL LONG TERM,V001073093
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001073094
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,09/12/2016,566.34,RESIDENTIAL LONG TERM,V001073096
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073097
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073098
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,09/12/2016,597.98,RESIDENTIAL LONG TERM,V001073101
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,500.42,RESIDENTIAL LONG TERM,V001073102
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073103
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,09/12/2016,547.56,RESIDENTIAL LONG TERM,V001073104
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,552.6,RESIDENTIAL LONG TERM,V001073105
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,09/12/2016,582.88,RESIDENTIAL LONG TERM,V001073106
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,THE REGARD PARTNERSHIP LIMITED,09/12/2016,2992.32,RESIDENTIAL LONG TERM,V001073107
ROCHDALE BOROUGH COUNCIL,08/12/2016,CHILDREN�S SOCIAL CARE,BURY MBC,08/12/2016,-795.43,OTHER LOCAL AUTHORITIES,V001073108
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HENSHAWS SOCIETY FOR BLIND PEOPLE,09/12/2016,1204.5,RESIDENTIAL LONG TERM,V001073109
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,629.28,RESIDENTIAL LONG TERM,V001073110
ROCHDALE BOROUGH COUNCIL,08/12/2016,CHILDREN�S SOCIAL CARE,BURY MBC,08/12/2016,795.43,OTHER LOCAL AUTHORITIES,V001073111
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,501.92,RESIDENTIAL LONG TERM,V001073113
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,IMAP CENTRE LTD,09/12/2016,6418,RESIDENTIAL LONG TERM,V001073115
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,09/12/2016,521.88,RESIDENTIAL LONG TERM,V001073116
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,09/12/2016,614.12,RESIDENTIAL LONG TERM,V001073117
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STANSFIELD HALL REST HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073118
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,09/12/2016,559.48,RESIDENTIAL LONG TERM,V001073119
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,PENDLE RESIDENTIAL CARE,09/12/2016,2099.7,RESIDENTIAL LONG TERM,V001073120
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,592.46,NURSING LONG TERM,V001073121
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001073123
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,WATERSIDE LODGE R H,09/12/2016,612.98,NURSING LONG TERM,V001073124
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,WATERSIDE LODGE R H,09/12/2016,953.52,NURSING LONG TERM,V001073125
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,WATERSIDE LODGE R H,09/12/2016,953.52,NURSING LONG TERM,V001073127
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,09/12/2016,564.58,RESIDENTIAL LONG TERM,V001073128
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,09/12/2016,566.14,RESIDENTIAL LONG TERM,V001073130
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073131
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001073132
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,STAMFORD HOUSE REST HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073133
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073134
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,09/12/2016,519.02,SELF - FUNDING DEFERRED PAYMENTS,V001073135
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,767.54,RESIDENTIAL LONG TERM,V001073136
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,551.04,RESIDENTIAL LONG TERM,V001073138
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,547.46,RESIDENTIAL LONG TERM,V001073141
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,541.88,RESIDENTIAL LONG TERM,V001073142
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,524.9,RESIDENTIAL LONG TERM,V001073144
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073145
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,09/12/2016,615.98,RESIDENTIAL LONG TERM,V001073146
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001073147
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,591.66,RESIDENTIAL LONG TERM,V001073150
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,09/12/2016,925,NURSING LONG TERM,V001073151
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,612.12,RESIDENTIAL LONG TERM,V001073152
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001073153
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,-512.67,RESIDENTIAL LONG TERM,V001073154
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,583.02,RESIDENTIAL LONG TERM,V001073157
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,09/12/2016,613.5,RESIDENTIAL LONG TERM,V001073158
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CEDAR COURT NURSING HOME,09/12/2016,993.92,NURSING LONG TERM,V001073159
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,09/12/2016,697.18,RESIDENTIAL LONG TERM,V001073160
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,555.46,RESIDENTIAL LONG TERM,V001073161
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,564.48,RESIDENTIAL LONG TERM,V001073162
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,570.04,RESIDENTIAL LONG TERM,V001073163
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,09/12/2016,587.42,NURSING LONG TERM,V001073164
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,801.3,NURSING LONG TERM,V001073165
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,577.12,RESIDENTIAL LONG TERM,V001073166
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,664.2,RESIDENTIAL LONG TERM,V001073167
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,09/12/2016,545.92,RESIDENTIAL LONG TERM,V001073170
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,09/12/2016,561.66,RESIDENTIAL LONG TERM,V001073171
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,09/12/2016,2400,NURSING LONG TERM,V001073172
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,09/12/2016,522.84,RESIDENTIAL LONG TERM,V001073174
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,601.88,RESIDENTIAL LONG TERM,V001073175
