Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,SLN42630,,"Anguish School, Quarterly rent in arrears",OTHER,CHILDREN'S SERVICES,,,"Anguish School, Quarterly rent in arrears",CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS,,,,,04/03/2014,31/03/2019,,31/03/2019,,,,ANGUISHS EDUCATIONAL FOUNDATION,,,80648,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AQN44685,,Emptying of bund & salt tanks at Highways depots,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Emptying of bund & salt tanks at Highways depots,,,,,,26/11/2014,31/03/2019,,01/04/2019,,,,DOUBLEDAYS WASTE RECYCLING-DISPOSAL CONT,,,67875,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GFN47666,,Purchase of vehicles on behalf of Norse. TPPL contract terms apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Purchase of vehicles on behalf of Norse. TPPL contract terms apply,VEHICLE & PLANT PURCHASE,,,,,12/06/2015,31/03/2019,,12/06/2019,,,,HAMMONDS OF HALESWORTH LTD,,,118308,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN49199,,"Vehicle hire - self drive, terms of ESPO 271 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Vehicle hire - self drive, terms of ESPO 271 apply",VEHICLE & PLANT LEASING/RENTAL,,,,,11/04/2016,31/03/2019,,31/03/2020,254529,,,N.D. BROWN LIMITED,1471913,,72143,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,ASN49001,,"Mains gas, terms of ESPO 192 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Mains gas, terms of ESPO 192 apply",UTILITIES,,,,,11/04/2016,31/03/2019,,31/03/2020,434189,,,EASTERN SHIRES PURCHASING ORGANISATION,,,68527,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN50621,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,HR-TRAINING,,,,,01/04/2017,31/03/2019,,31/03/2021,7140,,,C&C TRAINING LTD,,,2314365,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AMN49333,,Library Stock - Children's and young people's material - public libraries only,SINGLE AWARD CONTRACT,COMMUNITIES,,,Library Stock - Children's and young people's material - public libraries only,"BOOKS, CDS, DVDS & LEARNING MATERIALS",,,,,01/04/2016,31/03/2019,,31/03/2021,81712,,,PETERS LIMITED,2452340,,73217,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AMN49334,,Library Stock - Adult Fiction,SINGLE AWARD CONTRACT,COMMUNITIES,,,Library Stock - Adult Fiction,"BOOKS, CDS, DVDS & LEARNING MATERIALS",,,,,01/04/2016,31/03/2019,,31/03/2021,52,,,ASKEWS AND HOLTS LIBRARY SERVICES LTD.,2745298,,505492,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AMN49335,,Library Stock - Adult non-fiction (including standing order material) stock,SINGLE AWARD CONTRACT,COMMUNITIES,,,Library Stock - Adult non-fiction (including standing order material) stock,"BOOKS, CDS, DVDS & LEARNING MATERIALS",,,,,01/04/2016,31/03/2019,,31/03/2021,20987,,,BERTRAM TRADING LIMITED,6849888,,101082,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AMN49336,,"Library Stock - Sound and vision rental stock (music, CDs, DVDs and Blu-Ray) stock",SINGLE AWARD CONTRACT,COMMUNITIES,,,"Library Stock - Sound and vision rental stock (music, CDs, DVDs and Blu-Ray) stock","BOOKS, CDS, DVDS & LEARNING MATERIALS",,,,,01/04/2016,31/03/2019,,31/03/2021,573,,,TRANS-UK SUPPLIES LIMITED,2741928,,140479,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50555,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,HR-TRAINING,,,,,01/04/2017,31/03/2019,,31/03/2021,1899,,,ALLROADS TRAINING LTD,,,1355778,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50555A,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,HR-TRAINING,,,,,01/04/2017,31/03/2019,,31/03/2021,151350,,,GUNN TRAINING SERVICES LTD,10021910,,2115972,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50555B,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,HR-TRAINING,,,,,01/04/2017,31/03/2019,,31/03/2021,93532,,,MRS TRAINING & RESCUE,,,2066985,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50555C,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,HR-TRAINING,,,,,01/04/2017,31/03/2019,,31/03/2021,18354,,,NORFOLK TRAINING SERVICES LIMITED,1225466,,72532,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50555D,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Trainer Assessors and Delivery of Qualifications to Fast Lane Training Services,HR-TRAINING,,,,,01/04/2017,31/03/2019,,31/03/2021,7801,,,EAS TEC,,,246569,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON49005,,Norfolk Support Line,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Norfolk Support Line,,,,,,01/04/2016,31/03/2019,,31/03/2021,584093,,,THE VALIDIUM GROUP LIMITED,3612151,,241235,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON48946,,Personal Protective Equipment,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Personal Protective Equipment,EMERGENCY SVCES-PROTECTIVE CLOTHING,,,,,01/04/2016,31/03/2019,,31/03/2021,75161,,,MAINMAN SUPPLIES LTD,,,1265765,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GUN40204,,Norfolk trails people counters,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Norfolk trails people counters,HIGHWAYS-SUPPLIES & EQUIPMENT,,,,,01/04/2012,31/03/2019,,31/03/2019,286404,,,TRAFFIC TECHNOLOGY LTD,5257272,,112631,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BPN40219,,Adults - Asperger's Service Norfolk,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Asperger's Service Norfolk,"INFORMATION, ADVICE AND ADVOCACY",SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,853120009,"Social Community Care Supplies & Services - Adult / Advice, Advocacy and Counselling Services",321010,01/05/2014,31/03/2019,,31/03/2019,368529,,,ASPERGER EAST ANGLIA,,1074699,100177,,y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON44787,,Children's Centres at Downham Market and Methwold (Lot 31) and Swaffham (Lot 32) ,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at Downham Market and Methwold (Lot 31) and Swaffham (Lot 32) ,CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,3963424,FIXED,,4 CHILDREN,1789253,,80253,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41302,,"Children's Centres at Wells, Stibbard, Holt and Corpusty (Lot 15), Vancouver (King's Lynn) plus Springwood Area (Lot 26), Hunstanton (Lot 29)",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centres at Wells, Stibbard, Holt and Corpusty (Lot 15), Vancouver (King's Lynn) plus Springwood Area (Lot 26), Hunstanton (Lot 29)",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/07/2012,31/03/2019,,31/03/2020,2109164,FIXED,,ACTION FOR CHILDREN SERVICES LIMITED,2332388,,85143,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41303,,"Children's Centres Thorpe Hamlet and Heartsease (Lot 2), Sprowston & Spixworth (17) and Drayton & Taverham (18)",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centres Thorpe Hamlet and Heartsease (Lot 2), Sprowston & Spixworth (17) and Drayton & Taverham (18)",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,5992672,FIXED,,ACTION FOR CHILDREN SERVICES LIMITED,2332388,,85143,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41305,,"Children's Centres at Catton Grove, Fiddlewood Mile Cross (Lot 3), City and Eaton (Lot 7) and Dereham and Litcham (Lot 33) ",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centres at Catton Grove, Fiddlewood Mile Cross (Lot 3), City and Eaton (Lot 7) and Dereham and Litcham (Lot 33) ",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,7960671,FIXED,,ACTION FOR CHILDREN SERVICES LIMITED,2332388,,85143,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41306,,"Children's Centres at Harleston and Loddon are (Lot 8), Long Stratton (Lot 10), Wymondham and Hethersett (Lot 11), Stalham and Broadland (Lot 13), Reepham and Aylsham (Lot 19), Attleborough (Lot 36)",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centres at Harleston and Loddon are (Lot 8), Long Stratton (Lot 10), Wymondham and Hethersett (Lot 11), Stalham and Broadland (Lot 13), Reepham and Aylsham (Lot 19), Attleborough (Lot 36)",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,7445387,FIXED,,ACTION FOR CHILDREN SERVICES LIMITED,2332388,,85143,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41321,,"Children's Centres at Greenacre and Priory (Great Yarmouth), Minus Yarmouth North (Lot 23), Seagulls (Gorleston) and Gorleston and Hopton (Lot 24)",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centres at Greenacre and Priory (Great Yarmouth), Minus Yarmouth North (Lot 23), Seagulls (Gorleston) and Gorleston and Hopton (Lot 24)",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/07/2012,31/03/2019,,31/03/2020,7061819,FIXED,,GREAT YARMOUTH COMMUNITY TRUST,4329682,,69429,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BXN41368K,,National Schools Contract - Pre placement contract for the provision of School Services,OTHER,CHILDREN'S SERVICES,,,National Schools Contract - Pre placement contract for the provision of School Services,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS,SOCIAL WORK SERVICES WITH ACCOMMODATION,85311000,Social Community Care Suppliers & Services - Children - residential services,401308,,31/03/2019,,31/03/2019,,Estimated,,COTSWOLD CHINE,,,143252,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN44783,,Adults - Support and enablement services for adults with mental health problems at Boudicca Court,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Support and enablement services for adults with mental health problems at Boudicca Court,ADULT CARE-SUPPORTED LIVING,SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,853120009,Social Community Care Supplies & Services - Adult / Independent Supported Living,321800,17/03/2011,31/03/2019,,31/03/2019,1385567,,,STONHAM (HOME GROUP LTD),,,146370,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41241,,"Children's Centres at Bowthorpe, West Earlham and Costessey (Lot 4)",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centres at Bowthorpe, West Earlham and Costessey (Lot 4)",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,3177580,FIXED,,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,,,188303,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON42316,,Children's Centres at Cromer and Mundesley (Lot 12),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at Cromer and Mundesley (Lot 12),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,1961188,FIXED,,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,,,188303,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41242,,Children's Centres at North Walsham (Lot 14),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at North Walsham (Lot 14),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,1308719,FIXED,,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,,,188303,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41243,,Children's Centres at Signpost (North Lynn) & Gaywood North Bank and the Wootons (Lot 27),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at Signpost (North Lynn) & Gaywood North Bank and the Wootons (Lot 27),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,2663714,FIXED,,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,,,188303,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON41244,,Children's Centres at Thetford and Thetford Drake (Lot 35),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at Thetford and Thetford Drake (Lot 35),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,2718496,FIXED,,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,,,188303,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN44428,,Independent Advocacy for Children in Child Protection Procedures and Looked After Children and Care Leavers,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Independent Advocacy for Children in Child Protection Procedures and Looked After Children and Care Leavers,"INFORMATION, ADVICE AND ADVOCACY",Welfare services for children and young people,,,,01/04/2015,31/03/2019,,31/03/2019,708991,,,CORAM VOICE,3050826,,1260798,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON46350,,Children's Centres at  Nar and St. Clements (Lot 28),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at  Nar and St. Clements (Lot 28),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,2721880,FIXED,,ST MICHAELS,,,1010807,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON48683,,Children's Centres at East City and Framlingham Earl  (Lot 6),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centres at East City and Framlingham Earl  (Lot 6),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/04/2016,31/03/2019,,31/03/2020,1998267,FIXED,,ORMISTON FAMILIES,2769307,1015716,105791,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN48936,,Women's Refuge for Women at Risk of Domestic Violence,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Women's Refuge for Women at Risk of Domestic Violence,HOUSING-RELATED & FLOATING SUPPORT,,,,,01/04/2016,31/03/2019,,31/03/2019,318803,,,LEEWAY WOMEN'S AID,3208084,,71144,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN49305,,Children's Centre at Earlham Early Years Centre (Lot 1),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centre at Earlham Early Years Centre (Lot 1),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,2739500,FIXED,,EARLHAM EARLY YEARS CENTRE CHILDREN'S CENTRE,,,68535,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN49306,,"Children's Centre at Angel Road Infant School, North City Children's Centre (Lot 5)",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Children's Centre at Angel Road Infant School, North City Children's Centre (Lot 5)",CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,2328425,FIXED,,ANGEL ROAD INFANT SCHOOL,,,80615,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN49307,,Children's Centre at Diss Infant and Nursery School (Lot 9),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centre at Diss Infant and Nursery School (Lot 9),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,1500477,FIXED,,DISS INFANT AND NURSERY SCHOOL WITH CHILDREN'S CENTRE,,,129852,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN49308,,Children's Centre at Fakenham Infant and Nursery School (Lot 16),SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Children's Centre at Fakenham Infant and Nursery School (Lot 16),CHILDREN'S-CHILDREN'S CENTRES,Child daycare services,853121103,,,01/10/2012,31/03/2019,,31/03/2020,1516822,FIXED,,THE GOVERNING BODY OF FAKENHAM INFANT AND NURSERY SCHOOL CHILDREN'S CENTRE,,,68882,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
