Organisation Name (A),Department (B),Service Cat Label (C),Purpose of Spend (D),Expenditure-CIPFA Sub Group (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount  (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Operational Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 18/08/2016,OPS0273429,39.14,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,69.68,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,466.78,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,3.64,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,6.88,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,1.37,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,3.25,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,10.64,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 11/08/2016,HED0273354,24.93,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,53.54,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 18/08/2016,DAL0273451,299.92,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,47,ROYAL MAIL GROUP LIMITED,A0002281, 18/08/2016,HMR0273442,260,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/08/2016,OPS0273218,37,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/08/2016,OPS0273218,43,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/08/2016,OPS0273203,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/08/2016,OPS0273203,140,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Paid in the Year,PD,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/08/2016,OPS0273204,160,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Paid in the Year,PD,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/08/2016,OPS0273204,200,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,SALTERFORTH TOILETS GROUP,A0090906, 25/08/2016,HED0273559,500,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,SCOTT DAWSON ADVERTISING LTD,A0056526, 04/08/2016,REG0273168,20,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Telephones : Direct,45,SECURITY MONITORING CENTRES LTD,A0059068, 11/08/2016,OPS0273208,121.67,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,SELECTAMARK SECURITY SYSTEMS PLC,A0090597, 25/08/2016,COR0273540,272.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,43,SHAW & SONS LTD,A0002414, 11/08/2016,DAL0273250,224.25,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Publicity & advertisement,47,SIGNGEER LIMITED,A0090884, 18/08/2016,PCO0273398,13.45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Publicity & advertisement,47,SIGNGEER LIMITED,A0090884, 18/08/2016,PCO0273398,101.25,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,SOLAR SIGN SUPPLIES,A0090842, 04/08/2016,PCO0273162,7.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,SOLAR SIGN SUPPLIES,A0090842, 04/08/2016,PCO0273162,84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,SOLAR SIGN SUPPLIES,A0090842, 04/08/2016,PCO0273162,7.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,SOLAR SIGN SUPPLIES,A0090842, 04/08/2016,PCO0273162,84,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Lone Worker Monitoring Service,12,SOLOPROTECT LIMITED,A0089719, 04/08/2016,OPS0273129,379.4,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,SOUTHERN ELECTRIC,A0051726, 11/08/2016,EST0273343,125.19,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,25.49,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,35.69,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,247.62,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,108.24,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,121.57,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,351.37,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,121.46,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,49.33,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,SPEAKMAN CONTRACTORS LTD,A0066581, 25/08/2016,EST0273626,207.49,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,SPEAKMAN CONTRACTORS LTD,A0066581, 18/08/2016,HMR0273467,1401.5,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Planning Appeals,44,SQUIRE PATTON BOGGS (UK) LLP,A0064462, 11/08/2016,DAL0273249,1500,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Planning Appeals,44,SQUIRE PATTON BOGGS (UK) LLP,A0064462, 11/08/2016,DAL0273248,6244,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Publicity & advertisement,47,STANFORD MARSH GROUP GRAPHICS,A0090791, 18/08/2016,PCO0273400,19.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Publicity & advertisement,47,STANFORD MARSH GROUP GRAPHICS,A0090791, 11/08/2016,PCO0273214,1252.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 11/08/2016,OPS0273207,96,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 11/08/2016,OPS0273206,192,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 11/08/2016,OPS0273207,24,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 11/08/2016,OPS0273206,48,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 18/08/2016,OPS0273469,2100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Veterinary Fees,44,STANLEY HOUSE VETERINARY GROUP,A0002423, 11/08/2016,OPS0273344,12.5,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Planning Appeals,44,STEPHENSON HALLIDAY,A0090517, 04/08/2016,PBC0273189,6655.88,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,STILLWATER MANAGEMENT,A0090448, 11/08/2016,PCO0273233,320,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,STILLWATER MANAGEMENT,A0090448, 11/08/2016,PCO0273233,465,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,STILLWATER MANAGEMENT,A0090448, 11/08/2016,PCO0273233,980,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,93,TAXI ASSIST LIMITED,A0053756, 04/08/2016,HED0273181,17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TAYLORMADE CASTINGS LTD,A0059071, 11/08/2016,PCO0273201,85,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TAYLORMADE CASTINGS LTD,A0059071, 11/08/2016,PCO0273201,700,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TCS (WASTE) LIMITED,A0072822, 11/08/2016,OPS0273333,70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TCS (WASTE) LIMITED,A0072822, 11/08/2016,OPS0273333,70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TCS (WASTE) LIMITED,A0072822, 11/08/2016,OPS0273333,70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TCS (WASTE) LIMITED,A0072822, 11/08/2016,OPS0273333,70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TCS (WASTE) LIMITED,A0072822, 11/08/2016,OPS0273333,70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,TCS (WASTE) LIMITED,A0072822, 11/08/2016,OPS0273332,280,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Other Equipment,40,TEXT STYLES UK LIMITED,A0002725, 11/08/2016,HMR0273321,89.91,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,THE BOOKSHOP,A0063559, 18/08/2016,REG0273433,312.22,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,46,THE RAINHALL CENTRE,A0066193, 11/08/2016,DAL0273254,45,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Training,12,THE UNIVERSITY OF LEEDS,A0090462, 25/08/2016,PER0273597,5000,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Reference Books Acts,43,THOMSON REUTERS,A0077400, 25/08/2016,PBC0273596,58,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,"Monitoring, Console etc",45,TOGETHER HOUSING ASSOCIATION,A0090740, 18/08/2016,HMR0273441,24.37,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TOM HARDMAN,A0090821, 18/08/2016,HED0273458,50.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TOM HARDMAN,A0090821, 18/08/2016,HED0273458,50.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TOM HARDMAN,A0090821, 18/08/2016,HED0273458,50.75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TOM HARDMAN,A0090821, 18/08/2016,HED0273458,50.75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TOM HARDMAN,A0090821, 18/08/2016,HED0273458,120,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRACEY BOLTON,A0090350, 11/08/2016,PCO0273266,75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRAVIS PERKINS TRADING CO LTD,A0002709, 18/08/2016,PCO0273407,17.1,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRAVIS PERKINS TRADING CO LTD,A0002709, 18/08/2016,PCO0273407,18.24,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRAVIS PERKINS TRADING CO LTD,A0002709, 18/08/2016,PCO0273407,129.6,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,TRAWDEN FOREST PARISH COUNCIL,A0062286, 04/08/2016,HED0273158,250,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,TRAWDEN FOREST PARISH COUNCIL,A0062286, 11/08/2016,HED0273281,250,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,TRISTAR PRINTERS LTD,A0002731, 11/08/2016,REG0273257,60,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,43,TRISTAR PRINTERS LTD,A0002731, 18/08/2016,OPS0273544,75,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,UNIQUE CLEAN (NW) LIMITED,A0082299, 11/08/2016,REG0273294,5364.16,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273370,223.17,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 18/08/2016,EST0273514,123.72,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 18/08/2016,EST0273513,30.84,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273362,9.97,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273364,64.05,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273366,18.45,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273361,204.42,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273367,32.28,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273368,33.48,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273369,162.42,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/08/2016,EST0273363,1088.09,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,UTTLEY MEMORIALS LIMITED,A0082814, 25/08/2016,PCO0273586,85,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,UTTLEY MEMORIALS LIMITED,A0082814, 25/08/2016,PCO0273586,110,N,N/A,N,N/A
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,12,VENDA VALET (MACHINES) LTD,A0009649, 11/08/2016,EST0273341,216.67,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,1.81,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,2.18,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273178,5.44,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,5.79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273177,7.65,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,0.36,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,15.51,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,0.65,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,1.73,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273177,61.2,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,95.49,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,119.27,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,119.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273178,130.85,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273178,4.38,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273177,6.14,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,11.96,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,12.69,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,31.77,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,1.81,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,7.98,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273177,10.58,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,17.35,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273178,39.06,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,7.22,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,11.55,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,11.92,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273177,13.38,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273178,16.63,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 25/08/2016,DAL0273641,6.95,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273178,8.3,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 04/08/2016,DAL0273177,9.89,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 18/08/2016,DAL0273450,10.92,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,WHISTL NORTH LIMITED,A0064458, 11/08/2016,DAL0273255,18.96,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,WICKSTEED LEISURE LTD,A0004748, 18/08/2016,PCO0273487,25.33,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,WICKSTEED LEISURE LTD,A0004748, 18/08/2016,PCO0273489,25.33,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,WICKSTEED LEISURE LTD,A0004748, 18/08/2016,PCO0273487,298,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,WICKSTEED LEISURE LTD,A0004748, 18/08/2016,PCO0273489,298,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,YORKSHIRE WATER,A0002808, 25/08/2016,EST0273616,10.97,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,93,Redacted - Personal Data,A0090887, 11/08/2016,HED0273302,20.5,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,ZEN INTERNET,A0056321, 25/08/2016,COR0273543,10.98,N,N/A,N,N/A
