Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000848134,07/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,14445.22
Rochdale,V000848328,07/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2144
Rochdale,V000849329,14/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,14421.67
Rochdale,V000850217,17/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1959.75
Rochdale,V000853047,21/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,14679.58
Rochdale,V000854468,25/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1959.75
Rochdale,V000854469,25/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2026.75
Rochdale,V000854471,25/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2026.75
Rochdale,V000854475,26/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2177.5
Rochdale,V000854997,28/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,16072.13
Rochdale,V000855091,28/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1959.75
Rochdale,V000848165,07/11/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,8384.69
Rochdale,V000849345,14/11/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,8179.49
Rochdale,V000853049,21/11/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,8217.94
Rochdale,V000855002,28/11/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,8459.42
Rochdale,V000847500,04/11/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,24929
Rochdale,V000848144,07/11/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7693.06
Rochdale,V000849333,14/11/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7853.98
Rochdale,V000853050,21/11/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7962.41
Rochdale,V000854989,28/11/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7677.29
Rochdale,V000855094,28/11/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,24929
Rochdale,V000848149,07/11/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2900.45
Rochdale,V000849334,14/11/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3065.9
Rochdale,V000853051,21/11/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3113.64
Rochdale,V000854985,28/11/2014,CASTLEROCK RECRUITMENT GROUP PLC,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3161.38
Rochdale,V000848154,07/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,12061.87
Rochdale,V000849336,14/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,11237.4
Rochdale,V000853053,21/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,11308.46
Rochdale,V000854976,28/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,11211.7
Rochdale,V000846628,03/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,684.66
Rochdale,V000848136,07/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3395.09
Rochdale,V000849332,14/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3112.13
Rochdale,V000852961,21/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,668.2
Rochdale,V000853052,21/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3407.62
Rochdale,V000854994,28/11/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3070.87
Rochdale,V000855096,28/11/2014,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,Financial Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3484
Rochdale,V000855097,28/11/2014,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,Financial Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3484
Rochdale,V000848151,07/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1972.94
Rochdale,V000849335,14/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1952.21
Rochdale,V000853055,21/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1933.2
Rochdale,V000854978,28/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1768.82
Rochdale,V000848155,07/11/2014,DIRECT HEALTH UK LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,4686.55
Rochdale,V000849337,14/11/2014,DIRECT HEALTH UK LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,5007.74
Rochdale,V000853056,21/11/2014,DIRECT HEALTH UK LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,4986.14
Rochdale,V000854973,28/11/2014,DIRECT HEALTH UK LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,4822.42
Rochdale,V000848168,07/11/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2612.09
Rochdale,V000849346,14/11/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3294.65
Rochdale,V000853060,21/11/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2849.69
Rochdale,V000855000,28/11/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2758.97
Rochdale,V000848167,07/11/2014,HG CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2125.22
Rochdale,V000849347,14/11/2014,HG CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2595.24
Rochdale,V000853070,21/11/2014,HG CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,8407.07
Rochdale,V000855004,28/11/2014,HG CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3375.22
Rochdale,V000848164,07/11/2014,HOMECARE SUPPORT,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,4791.74
Rochdale,V000849343,14/11/2014,HOMECARE SUPPORT,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,4923.5
Rochdale,V000853061,21/11/2014,HOMECARE SUPPORT,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,4719.6
Rochdale,V000854965,28/11/2014,HOMECARE SUPPORT,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,5030.64
Rochdale,V000852522,20/11/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2283.15
Rochdale,V000849061,13/11/2014,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,Financial Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,58333
Rochdale,V000847531,17/11/2014,PARKWOOD HEALTHCARE LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,5841.66
Rochdale,V000848367,10/11/2014,POSSABILITIES CIC TRADING,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,500.1
Rochdale,V000848157,07/11/2014,PREMIER CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7728.05
Rochdale,V000849338,14/11/2014,PREMIER CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7406.21
Rochdale,V000853063,21/11/2014,PREMIER CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7494.98
Rochdale,V000854970,28/11/2014,PREMIER CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,7718.76
Rochdale,V000848163,07/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1173.53
Rochdale,V000849341,14/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1021.03
Rochdale,V000853068,21/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1226.23
Rochdale,V000854966,28/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1061.21
Rochdale,V000848159,07/11/2014,ROCHDALE COMMUNITY SUPPORT TRUST,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3840.25
Rochdale,V000849339,14/11/2014,ROCHDALE COMMUNITY SUPPORT TRUST,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3689.56
Rochdale,V000853064,21/11/2014,ROCHDALE COMMUNITY SUPPORT TRUST,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3574.78
Rochdale,V000854969,28/11/2014,ROCHDALE COMMUNITY SUPPORT TRUST,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3947.18
Rochdale,V000845907,19/11/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,5338.53
Rochdale,V000845908,19/11/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,1780.43
Rochdale,V000848161,07/11/2014,SEVACARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,12647.02
Rochdale,V000849340,14/11/2014,SEVACARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,12508.78
Rochdale,V000853067,21/11/2014,SEVACARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,12799.73
Rochdale,V000854967,28/11/2014,SEVACARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,12656.3
Rochdale,V000848248,07/11/2014,SUNSHINE CARE CO-OP,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,516.24
Rochdale,V000848323,07/11/2014,SUNSHINE CARE CO-OP,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,514.08
Rochdale,V000852815,21/11/2014,SUNSHINE CARE CO-OP,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,509.76
Rochdale,V000848135,07/11/2014,THE MEARS GROUP,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,2962.01
Rochdale,V000849331,14/11/2014,THE MEARS GROUP,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3034.37
Rochdale,V000853062,21/11/2014,THE MEARS GROUP,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3168.29
Rochdale,V000854996,28/11/2014,THE MEARS GROUP,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,3038.04
Rochdale,V000848025,06/11/2014,BIG LIFE CENTRES,Social Community Care Supplies & Services,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,3806.55
Rochdale,V000848819,11/11/2014,BIG LIFE CENTRES,Social Community Care Supplies & Services,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,180188.68
Rochdale,V000848709,11/11/2014,VICTIM SUPPORT & WITNESS SERVICE,Social Community Care Supplies & Services,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,8209.35
Rochdale,V000852448,19/11/2014,SAUNDERS & TAYLOR (MANCHESTER) LIMITED,Building Construction Materials,EARLY HELP AND SCHOOLS,PARKFIELD SUSPENDED CEILING REPLACEMENT,1648.42
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,986.05
Rochdale,V000854959,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,1125.06
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,675.82
Rochdale,V000849201,13/11/2014,CHAINSAW SCULPTURE LTD.,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,3400
Rochdale,V000849147,18/11/2014,MRM STREET FURNITURE LTD,Highway Equipment & Materials ,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,1200
Rochdale,V000850272,18/11/2014,S T HEATINGS SERVICES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,1313.79
Rochdale,V000848798,11/11/2014,FRIENDS OF HOLLINGWORTH LAKE,Financial Services,CUSTOMERS & CORPORATE SERVICES,PENNINES CAPITAL,1279.08
Rochdale,V000835944,19/11/2014,CIVICA UK LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,PEOPLES NETWORK,900
Rochdale,V000846156,19/11/2014,CIVICA UK LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,PEOPLES NETWORK,2829
Rochdale,V000844733,01/11/2014,REDACTED - PERSONAL DATA,Financial Services,EARLY HELP AND SCHOOLS,PERSONALISED BUDGETS,695.27
Rochdale,V000848054,06/11/2014,ROCHDALE EDUCATION & LEARNING TRUST,Education,EARLY HELP AND SCHOOLS,PERSONNEL,726
Rochdale,V000852512,19/11/2014,KILLGERM CHEMICALS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,PEST CONTROL,593.84
Rochdale,V000849272,14/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,2034.06
Rochdale,V000849273,14/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,666888.18
Rochdale,V000854482,25/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,23285.65
Rochdale,V000853076,21/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,6340.1
Rochdale,V000854697,27/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,4088.3
Rochdale,V000854698,27/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,2475.17
Rochdale,V000854699,27/11/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,3741.6
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,872.8
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,1125.07
Rochdale,V000852959,26/11/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,PUBLIC HEALTH,PHYSICAL ACTIVITY COMMISSIONING,147000
Rochdale,V000849189,18/11/2014,ROCHDALE TOWN CENTRE MANAGEMENT CO,Financial Services,CUSTOMERS & CORPORATE SERVICES,PIF EVENTS (25K 10/11),11516.39
Rochdale,V000849161,13/11/2014,HM LAND REGISTRY,Education,ECONOMY AND ENVIRONMENT,PLANNING ENFORCEMENT,677
Rochdale,V000852309,19/11/2014,RADPAC,Financial Services,EARLY HELP AND SCHOOLS,PLAY DEVELOPMENT TEAM,22000
Rochdale,V000852310,19/11/2014,RADPAC,Financial Services,EARLY HELP AND SCHOOLS,PLAY DEVELOPMENT TEAM,10000
Rochdale,V000847632,05/11/2014,DCM SURFACES,Sports & Playground Equipment & Maintenance,ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,2937.5
Rochdale,V000853033,21/11/2014,J S C PLAY SERVICES LIMITED,Sports & Playground Equipment & Maintenance,ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,20940
Rochdale,V000852445,19/11/2014,PARK LEISURE LTD,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,1020
Rochdale,V000849684,24/11/2014,MASSEY & HARRIS (ENGINEERING) LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,1435
Rochdale,V000854877,27/11/2014,NOTTSSPORT,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,722.6
Rochdale,V000854934,28/11/2014,PLAYBROKERS LTD,Sports & Playground Equipment & Maintenance,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,5368.5
Rochdale,V000849260,13/11/2014,WICKSTEED LEISURE LIMITED,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,1247.4
Rochdale,V000848926,12/11/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,POST 16 RDALE PUPILS IN COLLEGES/ISP,3200
Rochdale,V000852807,20/11/2014,NISAI LEARNING,Education,EARLY HELP AND SCHOOLS,POST 16 RDALE PUPILS IN COLLEGES/ISP,1000
Rochdale,V000852465,19/11/2014,96.2 REVOLUTION,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,3125
Rochdale,V000848947,18/11/2014,JGM AGENCY,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,8403.75
Rochdale,V000847720,05/11/2014,OFFICE DEPOT UK LIMITED,Stationery,FINANCE SERVICES,PR MEDIA AND MARKETING,569.07
Rochdale,V000814918,17/11/2014,TRINITY MIRROR PUBLISHING LTD,Education,FINANCE SERVICES,PR MEDIA AND MARKETING,1000
Rochdale,V000847507,04/11/2014,BRIGHOUSE HIGH SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,2010
Rochdale,V000847508,05/11/2014,TEACHING PERSONNEL LTD,Human Resources,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,520
Rochdale,V000848052,18/11/2014,TOBACCO FREE FUTURES CIC,Financial Services,PUBLIC HEALTH,PREGNANCY QUIT INCENTIVES,5161
Rochdale,V000854959,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,PROPERTY AND HIGHWAYS,PRNCESS ST DEPOT,2055.94
Rochdale,V000852581,20/11/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,QUEENS PARK BRIDGE ABUTMENTS,3045.49
Rochdale,V000847090,03/11/2014,DISABLED LIVING LTD,Human Resources,EARLY HELP AND SCHOOLS,RANS  MANAGEMENT,1950
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,RANS  MANAGEMENT,671.73
Rochdale,V000847094,03/11/2014,UNIVERSITY OF BIRMINGHAM,Financial Services,EARLY HELP AND SCHOOLS,RANS  MANAGEMENT,3215
Rochdale,V000848814,11/11/2014,DIOCESE OF SALFORD (DFC),Financial Services,EARLY HELP AND SCHOOLS,RC DIOCESE - PLACE PLANNING,10087.2
Rochdale,V000848815,11/11/2014,DIOCESE OF SALFORD (DFC),Financial Services,EARLY HELP AND SCHOOLS,RC DIOCESE - PLACE PLANNING,114228
Rochdale,V000848979,12/11/2014,DIOCESE OF SALFORD (DFC),Financial Services,EARLY HELP AND SCHOOLS,RC DIOCESE - PLACE PLANNING,8100
Rochdale,V000854892,28/11/2014,PRESTIGE NURSING & CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,REABLEMENT MENTAL HEALTH,632.88
Rochdale,V000848148,07/11/2014,CDEC LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,9273
Rochdale,V000848890,12/11/2014,KORUS RECRUITMENT GROUP LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,5520
Rochdale,V000854738,27/11/2014,MISCO,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,3463.05
Rochdale,V000852939,21/11/2014,NETWORKS FIRST LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,1809
Rochdale,V000852942,21/11/2014,NETWORKS FIRST LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,1809
Rochdale,V000852929,21/11/2014,PHOENIX SOFTWARE LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,3899.4
Rochdale,V000852931,21/11/2014,PHOENIX SOFTWARE LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,3193.44
Rochdale,V000848226,07/11/2014,SOFTCAT LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,6312.28
Rochdale,V000855009,28/11/2014,SOFTCAT LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,-654.81
Rochdale,V000852936,21/11/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,556.6
Rochdale,V000848197,10/11/2014,UPDATA INFRASTRUCTURE UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,5527
Rochdale,V000847843,06/11/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,REG ELECTORS GENERAL,5244.25
Rochdale,V000847844,06/11/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,REG ELECTORS GENERAL,2480.9
Rochdale,V000847845,06/11/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,REG ELECTORS GENERAL,668.15
Rochdale,V000847846,06/11/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,REG ELECTORS GENERAL,2228.05
