Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1206.38,FOSTER PARENTS BASIC ALLOWANCE,V000873835
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,540.62,FOSTER PARENTS BASIC ALLOWANCE,V000873837
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1017.42,FOSTER PARENTS BASIC ALLOWANCE,V000873840
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873840
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1092.12,SUBSIDISED ADOPTERS PMTS,V000873843
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,3030.8,FOSTER PARENTS BASIC ALLOWANCE,V000873845
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873846
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1213.58,FOSTER PARENTS BASIC ALLOWANCE,V000873850
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1291.46,SUBSIDISED ADOPTERS PMTS,V000873853
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,878,FOSTER PARENTS BASIC ALLOWANCE,V000873854
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873855
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,905.12,FOSTER PARENTS BASIC ALLOWANCE,V000873855
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,566,FOSTER PARENTS BASIC ALLOWANCE,V000873856
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,761.02,FOSTER PARENTS BASIC ALLOWANCE,V000873858
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873861
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,754.56,SUBSIDISED ADOPTERS PMTS,V000873865
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873865
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873868
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,888.74,FOSTER PARENTS BASIC ALLOWANCE,V000873869
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,927.08,SUBSIDISED ADOPTERS PMTS,V000873871
ROCHDALE BOROUGH COUNCIL,13/02/2015,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,13/02/2015,914.96,FOSTER PARENTS BASIC ALLOWANCE,V000873872
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873874
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,528,FOSTER PARENTS BASIC ALLOWANCE,V000873876
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873878
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,574.48,FOSTER PARENTS BASIC ALLOWANCE,V000873881
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,715.08,FOSTER PARENTS BASIC ALLOWANCE,V000873884
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873885
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1270.14,SUBSIDISED ADOPTERS PMTS,V000873885
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1061.18,FOSTER PARENTS BASIC ALLOWANCE,V000873886
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873887
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,604,FOSTER PARENTS BASIC ALLOWANCE,V000873888
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1024.96,FOSTER PARENTS BASIC ALLOWANCE,V000873889
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,500,SUBSIDISED ADOPTERS PMTS,V000873891
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1024.96,FOSTER PARENTS BASIC ALLOWANCE,V000873894
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1375.34,FOSTER PARENTS BASIC ALLOWANCE,V000873898
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,681.22,FOSTER PARENTS BASIC ALLOWANCE,V000873899
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1061.18,FOSTER PARENTS BASIC ALLOWANCE,V000873900
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,593,FOSTER PARENTS BASIC ALLOWANCE,V000873902
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873902
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873906
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873907
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873908
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873912
ROCHDALE BOROUGH COUNCIL,13/02/2015,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,13/02/2015,914.96,FOSTER PARENTS BASIC ALLOWANCE,V000873915
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,792,FOSTER PARENTS BASIC ALLOWANCE,V000873916
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1449.4,SUBSIDISED ADOPTERS PMTS,V000873919
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1336,FOSTER PARENTS BASIC ALLOWANCE,V000873920
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873926
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1666.14,FOSTER PARENTS BASIC ALLOWANCE,V000873927
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873929
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1213.58,FOSTER PARENTS BASIC ALLOWANCE,V000873933
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,FOSTER PARENTS BASIC ALLOWANCE,V000873934
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,738.2,FOSTER PARENTS BASIC ALLOWANCE,V000873936
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873936
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873937
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873938
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1061.18,FOSTER PARENTS BASIC ALLOWANCE,V000873939
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000873940
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873943
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,832.04,FOSTER PARENTS BASIC ALLOWANCE,V000873944
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873945
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,681.22,FOSTER PARENTS BASIC ALLOWANCE,V000873947
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1586.34,FOSTER PARENTS BASIC ALLOWANCE,V000873949
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873951
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1321.34,FOSTER PARENTS BASIC ALLOWANCE,V000873951
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873952
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000873953
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000873954
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1061.18,FOSTER PARENTS BASIC ALLOWANCE,V000873955
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873956
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1097.56,FOSTER PARENTS BASIC ALLOWANCE,V000873958
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873959
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1100.36,SUBSIDISED ADOPTERS PMTS,V000873962
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,532.14,FOSTER PARENTS BASIC ALLOWANCE,V000873963
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873967
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873968
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1477.52,FOSTER PARENTS BASIC ALLOWANCE,V000873969
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1405.08,FOSTER PARENTS BASIC ALLOWANCE,V000873970
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,723.24,FOSTER PARENTS BASIC ALLOWANCE,V000873972
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,687.04,FOSTER PARENTS BASIC ALLOWANCE,V000873974
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873975
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1224,SUBSIDISED ADOPTERS PMTS,V000873976
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873977
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873978
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1022.14,FOSTER PARENTS BASIC ALLOWANCE,V000873979
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873980
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873981
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,521.67,GRANTS AND SUBSCRIPTIONS - GENERAL,V000873982
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1061.18,FOSTER PARENTS BASIC ALLOWANCE,V000873986
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873987
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873989
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,681.22,FOSTER PARENTS BASIC ALLOWANCE,V000873990
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,832.04,FOSTER PARENTS BASIC ALLOWANCE,V000873991
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,687.04,FOSTER PARENTS BASIC ALLOWANCE,V000873992
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,904.64,FOSTER PARENTS BASIC ALLOWANCE,V000873993
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,SUBSIDISED ADOPTERS PMTS,V000873994
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873995
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1909.38,FOSTER PARENTS BASIC ALLOWANCE,V000873997
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000874000
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,532.14,FOSTER PARENTS BASIC ALLOWANCE,V000874002
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,543.86,SUBSIDISED ADOPTERS PMTS,V000874003
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000874004
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000874006
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000874006
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,761.02,FOSTER PARENTS BASIC ALLOWANCE,V000874007
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,904.64,FOSTER PARENTS BASIC ALLOWANCE,V000874019
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000874020
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,911.86,FOSTER PARENTS BASIC ALLOWANCE,V000874021
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,761.02,FOSTER PARENTS BASIC ALLOWANCE,V000874026
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,532.14,FOSTER PARENTS BASIC ALLOWANCE,V000874028
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1410.28,FOSTER PARENTS BASIC ALLOWANCE,V000874033
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1410.28,FOSTER PARENTS BASIC ALLOWANCE,V000874034
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,532.14,FOSTER PARENTS BASIC ALLOWANCE,V000874040
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,723.24,FOSTER PARENTS BASIC ALLOWANCE,V000874046
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000874047
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1513.74,FOSTER PARENTS BASIC ALLOWANCE,V000874050
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,723.24,FOSTER PARENTS BASIC ALLOWANCE,V000874051
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000874055
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1124.14,FOSTER PARENTS BASIC ALLOWANCE,V000874058
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,687.04,FOSTER PARENTS BASIC ALLOWANCE,V000874059
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000874060
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000874060
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,832.04,FOSTER PARENTS BASIC ALLOWANCE,V000874061
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1066.76,FOSTER PARENTS BASIC ALLOWANCE,V000874064
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,528,FOSTER PARENTS BASIC ALLOWANCE,V000874065
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,528,FOSTER PARENTS BASIC ALLOWANCE,V000874069
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,760,FOSTER PARENTS BASIC ALLOWANCE,V000874075
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,500,YOUNG PEOPLES RENTS,V000874082
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,805,FOSTER PARENTS BASIC ALLOWANCE,V000874087
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000874088
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,768.52,PROFESSIONAL FEES,V000874094
ROCHDALE BOROUGH COUNCIL,13/02/2015,CUSTOMERS & CORPORATE SERVICES,OFFICE DEPOT UK LIMITED,13/02/2015,661.96,POSTAGE,V000874098
ROCHDALE BOROUGH COUNCIL,19/02/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,19/02/2015,1800,FEES / COMMISSION,V000874105
ROCHDALE BOROUGH COUNCIL,11/02/2015,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,11/02/2015,2152.32,SOCIAL SERVICES OTHER,V000874111
ROCHDALE BOROUGH COUNCIL,11/02/2015,LEARNING DIS & MENTAL HEALTH,MENCAP,11/02/2015,528,HOME CARE SPOT PURCHASES,V000874127
ROCHDALE BOROUGH COUNCIL,12/02/2015,EARLY HELP AND SCHOOLS,ROUTES HEALTHCARE (NORTH),12/02/2015,578,HOME CARE - CHILDRENS SERVICES,V000874135
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,11/02/2015,991.69,RENT ALLOWS-PRIVATE TENANTS ST,V000874153
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,11/02/2015,571.15,RENT ALLOWS-PRIVATE TENANTS ST,V000874160
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,11/02/2015,658.02,RENT ALLOWS-PRIVATE TENANTS ST,V000874163
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,11/02/2015,1638.98,RENT ALLOWS-PRIVATE TENANTS ST,V000874167
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,11/02/2015,686.56,RENT ALLOWS-PRIVATE TENANTS ST,V000874168
